feature,classification,rationale,feature_group,feature_source,source,final_class,current_burglary_within_share_feature
overture_commercial_core_score,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_commercial_core_within_5km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_consumer_destination_any_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_consumer_destination_any_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_consumer_destination_any_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_convenience_fuel_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_convenience_fuel_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_convenience_fuel_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_county_commercial_core_flag,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_food_service_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_food_service_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_food_service_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_grocery_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_grocery_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_grocery_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_lodging_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_lodging_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_lodging_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_nightlife_alcohol_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_nightlife_alcohol_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_nightlife_alcohol_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_parking_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_parking_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_parking_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_state_commercial_core_flag,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nlcd_count_21,mass-duplicate,Raw developed-land pixel count is built-premise mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
nlcd_count_22,mass-duplicate,Raw developed-land pixel count is built-premise mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
nlcd_count_23,mass-duplicate,Raw developed-land pixel count is built-premise mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
nlcd_count_24,mass-duplicate,Raw developed-land pixel count is built-premise mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
nlcd_descriptor_count_1,mass-duplicate,Raw road/urban impervious descriptor count is developed activity mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
nlcd_descriptor_count_2,mass-duplicate,Raw road/urban impervious descriptor count is developed activity mass already carried by D_burglary.,land_cover,base_covariate,base_covariate,between_and_within,True
housing_density_sqkm,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
log_housing_density_sqkm,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
log_population_density_sqkm,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
log_total_population,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
pop_2024,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
population_density_sqkm,mass-duplicate,Raw resident or housing volume/density duplicates residential exposure in D_burglary.,population_density,base_covariate,base_covariate,between_and_within,True
alley_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
bike_path_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_aadt_km,mass-duplicate,"Traffic-volume kilometers are commercial/activity volume, not residual network structure.",roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_arterial_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_collector_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_lane_aadt_km,mass-duplicate,"Traffic-volume kilometers are commercial/activity volume, not residual network structure.",roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_nhs_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
hpms_truck_aadt_km,mass-duplicate,"Traffic-volume kilometers are commercial/activity volume, not residual network structure.",roads_transport,base_covariate,base_covariate,between_and_within,True
internal_census_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
limited_access_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
local_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
parking_lot_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
primary_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
private_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
ramp_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
road_total_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
secondary_road_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
service_drive_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
vehicular_trail_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
walkway_length_km,mass-duplicate,Raw road length is network volume that proxies activity mass already captured by D_burglary.,roads_transport,base_covariate,base_covariate,between_and_within,True
daytime_population_jobs_proxy_ratio,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
jobs_per_capita,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
jobs_wac_to_rac_ratio,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_jobs_per_capita,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_jobs_rac,residual,Resident-worker scale is not workplace or commercial-premise exposure mass.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_overture_nearest_commercial_core_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_atm_bank_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_commercial_core_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_consumer_destination_any_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_convenience_fuel_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_county_commercial_core_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_food_service_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_grocery_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_lodging_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_nightlife_alcohol_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_parking_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
nearest_overture_state_commercial_core_km,residual,"Nearest commercial/core distance is accessibility, not premises mass.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_commercial_core_finance_parking_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_commercial_core_food_nightlife_lodging_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_commercial_core_grocery_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
resident_jobs_per_capita,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
workplace_out_of_state_commute_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
workplace_same_bg_commute_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
workplace_same_county_commute_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
workplace_same_tract_commute_share,residual,Commercial/workplace ratio or mix; D_burglary already carries exposure volume.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
commute_45_59_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_45plus_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_60plus_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_bicycle_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_carpool_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_drive_alone_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_taxi_ridehail_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_transit_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_walk_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
commute_work_from_home_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
resident_same_bg_commute_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",commute_transport_exposure,base_covariate,base_covariate,between_only,True
hh_broadband_any_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_cellular_only_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_cellular_plan_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_computer_access_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_computer_broadband_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_computer_no_internet_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_dialup_only_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_no_internet_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_satellite_only_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_satellite_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_wired_broadband_only_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
hh_wired_broadband_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",digital_access_proxy,base_covariate,base_covariate,proxy_review,True
edu_bachelors_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",education_attainment,base_covariate,base_covariate,proxy_review,True
edu_doctorate_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",education_attainment,base_covariate,base_covariate,proxy_review,True
edu_hs_diploma_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",education_attainment,base_covariate,base_covariate,proxy_review,True
edu_masters_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",education_attainment,base_covariate,base_covariate,proxy_review,True
edu_professional_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",education_attainment,base_covariate,base_covariate,proxy_review,True
employed_per_capita,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",employment_labor,base_covariate,base_covariate,proxy_review,True
labor_force_per_capita,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",employment_labor,base_covariate,base_covariate,proxy_review,True
unemployed_per_capita,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",employment_labor,base_covariate,base_covariate,proxy_review,True
unemployment_rate,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",employment_labor,base_covariate,base_covariate,proxy_review,True
hh_family_female_no_spouse_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_female_no_spouse_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_male_no_spouse_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_male_no_spouse_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_married_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_married_no_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_married_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_single_parent_with_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_with_children_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_family_with_children_within_family_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_under18_nonfamily_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
hh_under18_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",familial_status_composition,base_covariate,base_covariate,excluded_protected,True
avg_household_size_owner,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",household_composition_other,base_covariate,base_covariate,between_only,True
avg_household_size_renter,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",household_composition_other,base_covariate,base_covariate,between_only,True
hh_access_without_subscription_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",household_composition_other,base_covariate,base_covariate,between_only,True
hh_other_service_only_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",household_composition_other,base_covariate,base_covariate,between_only,True
housing_occupied_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
overcrowded_occupied_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
owner_overcrowded_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
owner_units_per_capita,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
renter_overcrowded_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
renter_units_per_capita,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_built_1960_1979_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_built_1980_1999_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_built_2000_plus_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_built_pre1960_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_mobile_home_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_multifamily_large_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_multifamily_medium_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_multifamily_small_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_other_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_single_attached_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
structure_single_detached_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
tenure_owner_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_for_rent_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_for_sale_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_migrant_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_other_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_rented_not_occupied_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_seasonal_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
vacancy_sold_not_occupied_share,residual,"Feature is composition, mix, accessibility, or context rather than D_burglary exposure volume.",housing_tenure_overcrowding,base_covariate,base_covariate,proxy_review,True
