case_id,run_id,basis,area,area_label,ori9,agency_name,principal_jurisdiction_id,bg_count,allocation_share_sum,population_2024,expected_count_total,rate_total_per_100k,mean_index_total_primary_event_weighted,median_index_total_primary_event_weighted,target_count_total,bucket_population,fbi_population,population_bucket_ratio,notes
clark_nv_las_vegas_valley,county-anchoring-v4,jurisdiction_implied_assignment_rate,assigned_bucket_or_footprint,assigned jurisdiction denominator,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,,,641903.0,52405.0,8164.0060881473,,,52405.0,641903.0,1716565.0,2.6741813015,Before: exclusive agency target was anchored to the principal place bucket population. FBI annual Part-I total in observations=53198; AGS-core adjusted target=52405.
clark_nv_las_vegas_valley,consolidated-agency-v5,jurisdiction_implied_assignment_rate,assigned_bucket_or_footprint,assigned jurisdiction denominator,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,,,1734475.0437887432,52405.0,3021.3752678463,,,52405.0,641903.0,1716565.0,2.6741813015,After: same target is allocated over principal place plus county nonmunicipal remainder/CDP footprint. FBI annual Part-I total in observations=53198; AGS-core adjusted target=52405.
jefferson_ky_louisville_metro,county-anchoring-v4,bg_surface_area_weighted,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,385.0,317.7311259257,444237.5792457786,1408.2861735819,317.0119412169,16.3891457132,1.5663353686,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
jefferson_ky_louisville_metro,county-anchoring-v4,bg_surface_area_weighted,principal_city_place,Louisville city place,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,278.0,245.7957046069,242226.7793891566,26765.5573672388,11049.792857229,573.5738457626,482.9662845658,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
jefferson_ky_louisville_metro,county-anchoring-v4,principal_agency_component_area_weighted,principal_city_place,Louisville city place,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,278.0,245.7957046069,242226.7793891566,27782.0,11469.4172419995,,,27782.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
jefferson_ky_louisville_metro,county-anchoring-v4,principal_agency_component_area_weighted,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,0.0,317.7311259257,444237.5792457786,0.0,0.0,,,27782.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
jefferson_ky_louisville_metro,county-anchoring-v4,county_remainder_component_rows,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,385.0,317.7311259257,444237.5792457786,17.4285036902,3.9232393891,,,17.4285036902,,,,All allocation audit rows whose jurisdiction_type contains remainder and whose BG is in the affected county; these non-exclusive support rows should remain in place after consolidation.
jefferson_ky_louisville_metro,consolidated-agency-v5,bg_surface_area_weighted,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,385.0,317.7311259257,444237.5792457786,13012.5748602153,2929.1927266279,155.3321079591,131.702550647,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
jefferson_ky_louisville_metro,consolidated-agency-v5,bg_surface_area_weighted,principal_city_place,Louisville city place,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,278.0,245.7957046069,242226.7793891566,14654.8114416985,6050.0376872676,325.5839270446,270.8350880004,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
jefferson_ky_louisville_metro,consolidated-agency-v5,principal_agency_component_area_weighted,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,385.0,317.7311259257,444237.5792457786,13331.435517686,3000.9697829526,,,27782.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
jefferson_ky_louisville_metro,consolidated-agency-v5,principal_agency_component_area_weighted,principal_city_place,Louisville city place,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,278.0,245.7957046069,242226.7793891566,14450.564482314,5965.7171344784,,,27782.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
jefferson_ky_louisville_metro,consolidated-agency-v5,county_remainder_component_rows,county_nonmunicipal_remainder_cdp,Jefferson county nonmunicipal remainder/CDPs,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,385.0,317.7311259257,444237.5792457786,17.4285036902,3.9232393891,,,17.4285036902,,,,All allocation audit rows whose jurisdiction_type contains remainder and whose BG is in the affected county; these non-exclusive support rows should remain in place after consolidation.
jefferson_ky_louisville_metro,county-anchoring-v4,jurisdiction_implied_assignment_rate,assigned_bucket_or_footprint,assigned jurisdiction denominator,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,,,246161.0,27782.0,11286.1094974427,,,27782.0,246161.0,676843.0,2.7495947774,Before: exclusive agency target was anchored to the principal place bucket population. FBI annual Part-I total in observations=27903; AGS-core adjusted target=27782.
jefferson_ky_louisville_metro,consolidated-agency-v5,jurisdiction_implied_assignment_rate,assigned_bucket_or_footprint,assigned jurisdiction denominator,KY0568000,LOUISVILLE METRO,21:municipal:place:2148000,,,686464.3586349352,27782.0,4047.1147045778,,,27782.0,246161.0,676843.0,2.7495947774,After: same target is allocated over principal place plus county nonmunicipal remainder/CDP footprint. FBI annual Part-I total in observations=27903; AGS-core adjusted target=27782.
