ori,state_fips,state_abbr,agency_name_std,leaic_lg_name,est_total_2024,match_status,aiannh_codes,aiannh_names,comptyp_included,footprint_pop20_in_state,n_blocks_in_state,match_basis,reviewer_note
NC0870200,37,NC,CHEROKEE TRIBAL,EASTERN BAND OF CHEROKEE INDIANS,251.0,matched,0990,Eastern Cherokee Reservation,R,9233,346,leaic_lg_name 'EASTERN BAND OF CHEROKEE INDIANS' == AIANNH NAME 'Eastern Cherokee',
MTDI05300,30,MT,BLACKFEET AGENCY,BLACKFEET TRIBE,92.0,matched,0305,Blackfeet Indian Reservation,R;T,10764,1082,leaic_lg_name 'BLACKFEET TRIBE' == AIANNH NAME 'Blackfeet'; LEAIC ADDRESS_CITY=BROWNING (Blackfeet agency seat),
SD0420200,46,SD,LOWER BRULE TRIBAL,LOWER BRULE SIOUX TRIBE,63.0,matched,2030,Lower Brule Reservation,R;T,1630,94,leaic_lg_name 'LOWER BRULE SIOUX TRIBE' == AIANNH NAME 'Lower Brule',
WADI06700,53,WA,CHEHALIS TRIBAL,CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION,62.0,matched,0575,Chehalis Reservation,R;T,767,89,leaic_lg_name 'CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION' == AIANNH NAME 'Chehalis',
KSDI00200,20,KS,POTAWATOMI TRIBAL,PRAIRIE BAND POTAWATOMI INDIANS,29.0,matched,2980,Prairie Band of Potawatomi Nation Reservation,R,1529,147,leaic_lg_name 'PRAIRIE BAND POTAWATOMI INDIANS' == AIANNH NAME 'Prairie Band of Potawatomi Nation',
NDDI00200,38,ND,FORT TOTTEN AGENCY,SPIRIT LAKE SIOUX,88.0,matched,3935,Spirit Lake Reservation,R,3787,348,leaic_lg_name 'SPIRIT LAKE SIOUX' == AIANNH NAME 'Spirit Lake'; LEAIC ADDRESS_CITY=FORT TOTTEN,agency_name_std 'FORT TOTTEN AGENCY' uses the reservation's former name; the Spirit Lake Tribe (formerly Devils Lake Sioux) reservation was known as Fort Totten (https://www.indianaffairs.nd.gov/spirit-lake-nation).
LADI00600,22,LA,COUSHATTA TRIBAL,COUSHATTA INDIAN TRIBE,72.0,matched,0795,Coushatta Reservation,R;T,94,17,leaic_lg_name 'COUSHATTA INDIAN TRIBE' == AIANNH NAME 'Coushatta',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 34 (R only) to 94 (+176%).
OK0581400,40,OK,WYANDOTTE NATION,OTOE-MISSOURIA TRIBE OF OKLAHOMA,35.0,matched,5890,Wyandotte OTSA,R,1869,93,"OTSA; LEAIC NAME 'WYANDOTTE TRIBAL POLICE', COUNTYNAME=OTTAWA, ADDRESS_CITY=WYANDOTTE == AIANNH NAME 'Wyandotte'","leaic_lg_name 'OTOE-MISSOURIA TRIBE OF OKLAHOMA' is a LEAIC data error (the Otoe-Missouria are in Noble/Kay Cos, ~200 miles away); the agency name, county and address all say Wyandotte. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
UT0240200,49,UT,UINTAH AND OURAY TRIBAL,UNITAH & OURAY AGENCY,34.90909090909091,matched,4390,Uintah and Ouray Reservation,R;T,25192,2281,agency_name_std 'UINTAH AND OURAY TRIBAL' + leaic_lg_name 'UNITAH & OURAY AGENCY' == AIANNH NAME 'Uintah and Ouray',Uintah and Ouray Reservation is almost entirely in UT with a small CO extension; UT portion only.
CO0340200,08,CO,SOUTHERN UTE TRIBAL,SOUTHERN UTE TRIBE,50.0,matched,3925,Southern Ute Reservation,R,12321,656,leaic_lg_name 'SOUTHERN UTE TRIBE' == AIANNH NAME 'Southern Ute',
OKDI18000,40,OK,CHICKASAW NATION,CHICKASAW NATION,930.0,matched,5580,Chickasaw OTSA,R,306460,18164,OTSA; leaic_lg_name 'CHICKASAW NATION' == AIANNH NAME 'Chickasaw',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
MTDI00000,30,MT,FLATHEAD TRIBAL,CONFEDERATED SALISH & KOOTENAI TRIBES,112.0,matched,1110,Flathead Reservation,R,30849,2958,agency_name_std 'FLATHEAD TRIBAL' == AIANNH NAME 'Flathead',"leaic_lg_name 'CONFEDERATED SALISH & KOOTENAI TRIBES' names the confederation, whose reservation is the Flathead Reservation. Same footprint as MT0240500."
OK0572600,40,OK,OSAGE NATION,OSAGE NATION,155.0,matched,2595,Osage Reservation,R,45818,3855,leaic_lg_name 'OSAGE NATION' == AIANNH NAME 'Osage',"Not an OTSA: the Osage Reservation is CLASSFP D2, a true reservation coterminous with Osage County OK."
WYDI05000,56,WY,WIND RIVER AGENCY,SHOSHONE ARAPAHO TRIBES,84.0,matched,4610,Wind River Reservation,R;T,25759,1865,leaic_lg_name 'SHOSHONE ARAPAHO TRIBES' -> Wind River Reservation (AIANNH NAME 'Wind River'); LEAIC ADDRESS_CITY=FORT WASHAKIE,"The Eastern Shoshone and Northern Arapaho Tribes share the Wind River Reservation, the only AIANNH area in WY."
MIDI05400,26,MI,BAY MILLS TRIBAL,BAY MILLS INDIAN COMMUNITY OF THE SAULT STE. MARIE,25.0,matched,0170,Bay Mills Reservation,R;T,1032,34,agency_name_std 'BAY MILLS TRIBAL' == AIANNH NAME 'Bay Mills',"leaic_lg_name is the legacy compound 'BAY MILLS INDIAN COMMUNITY OF THE SAULT STE. MARIE', which made the naive join tie Sault Ste. Marie (3635) with Bay Mills. Bay Mills Indian Community is a separate tribe from the Sault Ste. Marie Tribe of Chippewa Indians (MIDI05200) and has its own reservation."
SD0080100,46,SD,CROW CREEK TRIBAL,CROW CREEK SIOUX TRIBE,61.0,matched,0855,Crow Creek Reservation,R,2054,151,leaic_lg_name 'CROW CREEK SIOUX TRIBE' == AIANNH NAME 'Crow Creek',
ID0030300,16,ID,FORT HALL TRIBAL,SHOSHONE-BANNOCK TRIBE,157.0,matched,1185,Fort Hall Reservation,R;T,5977,771,agency_name_std 'FORT HALL TRIBAL' + leaic_lg_name 'SHOSHONE-BANNOCK TRIBE' == AIANNH NAME 'Fort Hall',The Shoshone-Bannock Tribes' reservation is the Fort Hall Reservation; agency name supplies the Census-side name.
CADIT0200,06,CA,YUROK TRIBAL,YUROK RESERVATION,51.0,matched,4760,Yurok Reservation,R,1236,242,agency_name_std 'YUROK TRIBAL' + leaic_lg_name 'YUROK RESERVATION' == AIANNH NAME 'Yurok',
SD0540200,46,SD,SISSETON WAHPETON TRIBAL,SISSETON-WAHPETON SIOUX TRIBE,115.0,matched,1860,Lake Traverse Reservation,R;T,10837,2071,leaic_lg_name 'SISSETON-WAHPETON SIOUX TRIBE' -> Lake Traverse Reservation (AIANNH NAME 'Lake Traverse'); tribe name and Census area name differ,"Name mismatch by design: the Sisseton-Wahpeton Oyate's reservation is the Lake Traverse Reservation (https://www.swo-nsn.gov/, https://en.wikipedia.org/wiki/Lake_Traverse_Indian_Reservation). Zero useful token overlap, so the naive join produced only a spurious 'SIOUX' hit on Shakopee Mdewakanton. Reservation spans SD/ND; SD portion only (pop 10,837 of 11,043)."
ALDI00300,01,AL,POARCH CREEK TRIBAL,POARCH CREEK INDIANS,342.0,matched,2865,Poarch Creek Reservation,R;T,281,23,leaic_lg_name 'POARCH CREEK INDIANS' == AIANNH NAME 'Poarch Creek',"AL portion only; Poarch Creek also holds off-reservation trust land in FL (AIANNHCE 2865 COMPTYP T, pop 6) which is excluded. COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 185 (R only) to 281 (+52%)."
NB0870200,31,NE,OMAHA TRIBAL,OMAHA TRIBE OF NEBRASKA,42.0,matched,2550,Omaha Reservation,R,4526,643,leaic_lg_name 'OMAHA TRIBE OF NEBRASKA' == AIANNH NAME 'Omaha',Omaha Reservation spans NE/IA; NE portion only.
WADI01200,53,WA,SHOALWATER BAY TRIBAL,SHOALWATER BAY TRIBE,6.0,matched,3780,Shoalwater Bay Indian Reservation,R;T,82,14,leaic_lg_name 'SHOALWATER BAY TRIBE' == AIANNH NAME 'Shoalwater Bay',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 61 (R only) to 82 (+34%).
AZDI06700,04,AZ,HUALAPAI TRIBAL,HUALAPAI TRIBE,39.0,matched,1545,Hualapai Indian Reservation,R;T,1299,261,leaic_lg_name 'HUALAPAI TRIBE' == AIANNH NAME 'Hualapai',AZDI06000 (BIA Truxton Canon Agency) maps to the same footprint.
WADI01400,53,WA,NOOKSACK TRIBAL,NOOKSACK TRIBE,12.0,matched,2475,Nooksack Reservation,R;T,876,78,leaic_lg_name 'NOOKSACK TRIBE' == AIANNH NAME 'Nooksack',COMPTYP FLAG: the reservation (R) component has 2020 population 0 in this state (2 blocks); the entire 876-person footprint comes from off-reservation trust land (T).
SD0560200,46,SD,PINE RIDGE SIOUX TRIBAL,OGLALA SIOUX TRIBE,110.39999999999999,matched,2810,Pine Ridge Reservation,R,18847,1459,agency_name_std 'PINE RIDGE SIOUX TRIBAL' + leaic_lg_name 'OGLALA SIOUX TRIBE' == AIANNH NAME 'Pine Ridge',Same footprint as SDDI01000.
WADI05800,53,WA,YAKAMA NATION,CONFEDERATED TRIBES OF THE YAKAMA RESERVATION,265.0,matched,4690,Yakama Nation Reservation,R;T,31591,1729,leaic_lg_name 'CONFEDERATED TRIBES OF THE YAKAMA RESERVATION' == AIANNH NAME 'Yakama Nation',
WI0451200,55,WI,ONEIDA TRIBAL,ONEIDA TRIBE OF INDIANS OF WISCONSIN,134.0,matched,2560,Oneida (WI) Reservation,R;T,27110,529,leaic_lg_name 'ONEIDA TRIBE OF INDIANS OF WISCONSIN' == AIANNH NAME 'Oneida (WI)',"Distinct from the Oneida Indian Nation of New York (2555, NYDI02100)."
NM0330300,35,NM,LAGUNA TRIBAL,PUEBLO OF LAGUNA,37.0,matched,1840,Laguna Pueblo,R;T,3985,659,leaic_lg_name 'PUEBLO OF LAGUNA' == AIANNH NAME 'Laguna',Same footprint as NM0320500.
NVDI05700,32,NV,PYRAMID LAKE TRIBAL,PYRAMID LAKE PAIUTE,13.0,matched,3010,Pyramid Lake Paiute Reservation,R,1933,224,leaic_lg_name 'PYRAMID LAKE PAIUTE' == AIANNH NAME 'Pyramid Lake Paiute',
IDDI00900,16,ID,COEUR D ALENE TRIBAL,COEUR D'ALENE TRIBE,27.0,matched,0705,Coeur d'Alene Reservation,R,7567,734,"leaic_lg_name ""COEUR D'ALENE TRIBE"" == AIANNH NAME ""Coeur d'Alene""",
MTDI05500,30,MT,FT PCK ASSINIBOINE SIOUX,ASSINBOINE AND SIOUX TRIBES OF THE FORT PECK INDIA,20.0,matched,1250,Fort Peck Indian Reservation,R;T,9988,1347,leaic_lg_name 'ASSIN[I]BOINE AND SIOUX TRIBES OF THE FORT PECK INDIA[N RESERVATION]' == AIANNH NAME 'Fort Peck',
MTDI05000,30,MT,CROW AGENCY,CROW TRIBE,41.14285714285714,matched,0845,Crow Reservation,R;T,6974,1420,leaic_lg_name 'CROW TRIBE' == AIANNH NAME 'Crow',
IDDI00400,16,ID,NEZ PERCE TRIBAL,NEZ PERCE TRIBE,26.0,matched,2445,Nez Perce Reservation,R,18403,1723,leaic_lg_name 'NEZ PERCE TRIBE' == AIANNH NAME 'Nez Perce',
MTDI05100,30,MT,NORTHERN CHEYENNE AGENCY,NORTHERN CHEYENNE TRIBE,42.0,matched,2490,Northern Cheyenne Indian Reservation,R;T,4456,336,leaic_lg_name 'NORTHERN CHEYENNE TRIBE' == AIANNH NAME 'Northern Cheyenne'; LEAIC ADDRESS_CITY=LAME DEER,Northern Cheyenne also has 4 trust-land blocks in SD (pop 0); MT portion only.
OKDI05500,40,OK,OTOE MISSOURIA TRIBAL,OTOE-MISSOURIA TRIBE OF OKLAHOMA,5.2409604615874565,matched,5760,Otoe-Missouria OTSA,R,810,242,OTSA; leaic_lg_name 'OTOE-MISSOURIA TRIBE OF OKLAHOMA' == AIANNH NAME 'Otoe-Missouria',"Same footprint as OKDIT1500. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
MEDI00300,23,ME,PASSAMAQUODDY INDIAN TWP,PASSAMAQUODDY TRIBE - INDIAN TOWNSHIP,14.0,matched,1575,Indian Township Reservation,R,760,45,agency_name_std 'PASSAMAQUODDY INDIAN TWP' + leaic_lg_name 'PASSAMAQUODDY TRIBE - INDIAN TOWNSHIP' == AIANNH NAME 'Indian Township',"The Passamaquoddy Tribe has two reservations coded separately (Indian Township 1575, Pleasant Point 2850); this ORI is the Indian Township one. The tribe-wide 'Passamaquoddy Trust Land' area (2695, 112 blocks, pop 4) is not attributable to either reservation PD and is excluded from all three Passamaquoddy ORIs. Same footprint as ME0151200."
NM0210400,35,NM,OHKAY OWINGEH TRIBAL,PUEBLO OF SAN JUAN,27.0,matched,2510,Ohkay Owingeh,R,6580,306,agency_name_std 'OHKAY OWINGEH TRIBAL' == AIANNH NAME 'Ohkay Owingeh',leaic_lg_name 'PUEBLO OF SAN JUAN' is the pueblo's former name; Ohkay Owingeh is the current name and the one Census uses.
ORDI05000,41,OR,WARM SPRINGS TRIBAL,CONFEDERATED TRIBES OF THE WARM SPRINGS RESERVATIO,43.0,matched,4545,Warm Springs Reservation,R;T,3403,591,leaic_lg_name 'CONFEDERATED TRIBES OF THE WARM SPRINGS RESERVATIO[N]' == AIANNH NAME 'Warm Springs',
NVDI05100,32,NV,EASTERN NEVADA AGENCY,TE-MOAK TRIBE OF WESTERN SHOSHONE - SOUTH FORK,18.0,ambiguous,,,,0,0,BIA Eastern Nevada Agency is a multi-tribe BIA agency; leaic_lg_name names only 'TE-MOAK TRIBE OF WESTERN SHOSHONE - SOUTH FORK' while LEAIC ADDRESS_CITY is OWYHEE (Duck Valley),"AMBIGUOUS: BIA Eastern Nevada Agency serves the four Te-Moak bands - Battle Mountain (0165), Elko (1005), South Fork (3930), Wells (4580) - plus Ely Shoshone (1040), Goshute (1340), Duckwater (0975) and the Shoshone-Paiute Tribes of Duck Valley (0965) (https://www.bia.gov/regional-offices/western/eastern-nevada-agency). LG_NAME points to South Fork, the address city points to Duck Valley, and six of these areas already have their own tribal-PD ORI in this roster."
AZ0080300,04,AZ,FORT MOJAVE TRIBAL,FORT MOJAVE TRIBE OF ARIZONA,42.0,matched,1235,Fort Mojave Reservation,R,1183,84,leaic_lg_name 'FORT MOJAVE TRIBE OF ARIZONA' == AIANNH NAME 'Fort Mojave',Fort Mojave Reservation spans AZ/CA/NV; AZ portion only.
OKDI06200,40,OK,SEMINOLE NATN LIGHTHORSE,SEMINOLE NATION OF OKLAHOMA,47.99999999999999,matched,5830,Seminole OTSA,R,21656,1417,OTSA; leaic_lg_name 'SEMINOLE NATION OF OKLAHOMA' == AIANNH NAME 'Seminole',"Joint-use OTSA 5915 'Creek/Seminole' (141 blocks, pop 1,900) excluded to avoid double counting with OK0561700. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
NM0170400,35,NM,RAMAH NAVAJO TRIBAL,RAMAH NAVAJO,7.0,matched,2430,Navajo Nation Reservation,R;T,64571,7971,leaic_lg_name 'RAMAH NAVAJO' -> Navajo Nation (AIANNH NAME 'Navajo Nation'); Ramah is a non-contiguous section of the Navajo Nation Reservation with no separate AIANNHCE,"OVERSTATEMENT WARNING: the 2020 vocabulary has no code for the Ramah section (nor Alamo or Tohajiilee) - they are folded into AIANNHCE 2430. The NM Navajo footprint computed here (64,571) is roughly 20x the Ramah Chapter's actual resident population, and it overlaps NMDI05200. A supervisor should sub-allocate Ramah geographically before use. COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 40,197 (R only) to 64,571 (+61%)."
NM0210500,35,NM,SANTA CLARA PUEBLO,PUEBLO OF SANTA CLARA,14.0,matched,3495,Santa Clara Pueblo,R;T,11322,391,leaic_lg_name 'PUEBLO OF SANTA CLARA' == AIANNH NAME 'Santa Clara',
WADI00900,53,WA,SUQUAMISH TRIBAL,SUQUAMISH TRIBE,62.0,matched,2925,Port Madison Reservation,R,7929,135,leaic_lg_name 'SUQUAMISH TRIBE' -> Port Madison Reservation (AIANNH NAME 'Port Madison'); tribe name and Census area name differ,"Name mismatch by design: the federal name is 'Suquamish Indian Tribe of the Port Madison Reservation' (https://www.bia.gov/tribe/suquamish-indian-tribe-port-madison-reservation), Kitsap County WA. Zero token overlap, so the programmatic join produced no candidate."
LADI00500,22,LA,TUNICA BILOXI TRIBAL,TUNICA-BILOXI TRIBE,72.0,matched,4315,Tunica-Biloxi Reservation,R;T,106,19,leaic_lg_name 'TUNICA-BILOXI TRIBE' == AIANNH NAME 'Tunica-Biloxi',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 77 (R only) to 106 (+38%).
CA0071300,06,CA,KENSINGTON,KENSINGTON POLICE PROTECTION AND COMM SERVICES DIS,73.0,not_tribal,,,,0,0,"Kensington Police Protection and Community Services District, Contra Costa County CA","FALSE POSITIVE of the tribal detector: a California police-protection/community-services district. is_tribal_leaic fired on the LEAIC LG_POPULATION=999999999 sentinel, which marks special districts as well as tribes; tribal_name_wordboundary is False."
NBDI00800,31,NE,SANTEE TRIBAL,SANTEE SIOUX TRIBE OF NEBRASKA,4.363636363636363,matched,3565,Santee Reservation,R,974,152,leaic_lg_name 'SANTEE SIOUX TRIBE OF NEBRASKA' == AIANNH NAME 'Santee',
LA0510600,22,LA,CHITIMACHA TRIBAL,CHITIMACHA INDIAN TRIBE,19.0,matched,0635,Chitimacha Reservation,R,644,16,leaic_lg_name 'CHITIMACHA INDIAN TRIBE' == AIANNH NAME 'Chitimacha',
OKDI00600,40,OK,CHOCTAW NATION,CHOCTAW NATION OF OKLAHOMA,207.0,matched,5590,Choctaw OTSA,R,226984,19306,OTSA; leaic_lg_name 'CHOCTAW NATION OF OKLAHOMA' == AIANNH NAME 'Choctaw',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
CA0411900,06,CA,BROADMOOR,BROADMOOR POLICE PROTECTION DISTRICT,47.0,not_tribal,,,,0,0,"Broadmoor Police Protection District, San Mateo County CA",FALSE POSITIVE: California police-protection district. LG_POPULATION=999999999 sentinel; tribal_name_wordboundary False.
WADI06600,53,WA,PORT GAMBLE S KLALLAM TB,PORT GAMBLE S'KLALLAM TRIBE,26.4,matched,2910,Port Gamble Reservation,R;T,750,16,"leaic_lg_name ""PORT GAMBLE S'KLALLAM TRIBE"" == AIANNH NAME 'Port Gamble'","Distinct from the Jamestown S'Klallam area (1655, WADI08200) and from Port Madison (2925, Suquamish)."
AZDI06000,04,AZ,TRUXTON CANON AGENCY,HUALAPAI TRIBE,11.0,matched,1545,Hualapai Indian Reservation,R;T,1299,261,BIA Truxton Canon Agency LE; leaic_lg_name 'HUALAPAI TRIBE'; LEAIC ADDRESS_CITY 'PEACH SPRINGS' (Hualapai capital) == AIANNH NAME 'Hualapai',BIA area agency: Truxton Canon Agency also serves Havasupai (1440) and Yavapai-Prescott (4710); only the Hualapai link is evidenced (LG_NAME + Peach Springs address). Same footprint as AZDI06700.
OK0111200,40,OK,CHEROKEE NATION,CHEROKEE NATION OF OKLAHOMA,152.0,matched,5550,Cherokee OTSA,R,513178,22436,OTSA; leaic_lg_name 'CHEROKEE NATION OF OKLAHOMA' == AIANNH NAME 'Cherokee',"The United Keetoowah Band (OKDI16000) shares this same statistical area but has no AIANNHCE of its own. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
OK0411800,40,OK,SAC AND FOX TRIBAL,SAC AND FOX NATION OF OKLAHOMA,24.0,matched,5820,Sac and Fox OTSA,R,58358,3072,OTSA; leaic_lg_name 'SAC AND FOX NATION OF OKLAHOMA' == AIANNH NAME 'Sac and Fox',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
CA0471000,06,CA,LAKE SHASTINA,LAKE SHASTINA COMMUNITY SERVICES DISTRICT,22.285714285714285,not_tribal,,,,0,0,"Lake Shastina Community Services District PD, Siskiyou County CA","FALSE POSITIVE: California community-services district (a lakeside subdivision), not a tribe. Only weak candidates were AIANNH areas sharing the generic token 'LAKE'."
OK0361800,40,OK,KAW TRIBAL,KAW NATION OF OKLAHOMA,2.4,matched,5690,Kaw OTSA,R,5692,882,OTSA; leaic_lg_name 'KAW NATION OF OKLAHOMA' == AIANNH NAME 'Kaw',"Joint-use OTSA 5950 'Kaw/Ponca' (942 blocks, pop 26,146) excluded to avoid double counting with OK0362000. Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
WADI06400,53,WA,SWINOMISH TRIBAL,SWINOMISH INDIAN TRIBAL COMMUNITY,7.0,matched,4075,Swinomish Reservation,R;T,3228,141,leaic_lg_name 'SWINOMISH INDIAN TRIBAL COMMUNITY' == AIANNH NAME 'Swinomish',
NM0230800,35,NM,SANTA ANA TRIBAL,PUEBLO OF SANTA ANA,63.0,matched,3480,Santa Ana Pueblo,R,684,86,leaic_lg_name 'PUEBLO OF SANTA ANA' == AIANNH NAME 'Santa Ana',"Joint-use area 4930 'San Felipe Pueblo/Santa Ana Pueblo' (9 blocks, pop 0) excluded to avoid double counting; carries no population."
CODI01100,08,CO,UTE MOUNTAIN TRIBAL,UTE MOUNTAIN TRIBE,7.0,matched,4470,Ute Mountain Reservation,R,1478,198,leaic_lg_name 'UTE MOUNTAIN TRIBE' == AIANNH NAME 'Ute Mountain',Ute Mountain Reservation spans CO/NM/UT; CO portion only. Same footprint as CO0420400.
WADI05500,53,WA,SQUAXIN ISLAND TRIBAL,SQUAXIN ISLAND TRIBE,57.0,matched,3955,Squaxin Island Reservation,R;T,509,24,leaic_lg_name 'SQUAXIN ISLAND TRIBE' == AIANNH NAME 'Squaxin Island',COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 274 (R only) to 509 (+86%).
