case_id,ori9,year,offense,adjudication,reason_code,reviewer,evidence_note
extadj-md0172100-motor_vehicle_theft,MD0172100,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-md0172100-murder,MD0172100,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-md0172100-rape,MD0172100,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-md0172100-robbery,MD0172100,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-lanpd0000-burglary,LANPD0000,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"NOPD Annual Preliminary Crime Statistics 2024 (official PDF, nopdnews.com/.../2024-Annual-Crime-Comparisons.pdf) — Exact match on every held offense once NOPD's internal subcategories are correctly mapped to FBI definitions: murder 124=124;"
extadj-lanpd0000-larceny,LANPD0000,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"NOPD Annual Preliminary Crime Statistics 2024 (official PDF, nopdnews.com/.../2024-Annual-Crime-Comparisons.pdf) — Exact match on every held offense once NOPD's internal subcategories are correctly mapped to FBI definitions: murder 124=124;"
extadj-lanpd0000-motor_vehicle_theft,LANPD0000,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"NOPD Annual Preliminary Crime Statistics 2024 (official PDF, nopdnews.com/.../2024-Annual-Crime-Comparisons.pdf) — Exact match on every held offense once NOPD's internal subcategories are correctly mapped to FBI definitions: murder 124=124;"
extadj-lanpd0000-murder,LANPD0000,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"NOPD Annual Preliminary Crime Statistics 2024 (official PDF, nopdnews.com/.../2024-Annual-Crime-Comparisons.pdf) — Exact match on every held offense once NOPD's internal subcategories are correctly mapped to FBI definitions: murder 124=124;"
extadj-lanpd0000-robbery,LANPD0000,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"NOPD Annual Preliminary Crime Statistics 2024 (official PDF, nopdnews.com/.../2024-Annual-Crime-Comparisons.pdf) — Exact match on every held offense once NOPD's internal subcategories are correctly mapped to FBI definitions: murder 124=124;"
extadj-al0010200-motor_vehicle_theft,AL0010200,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WBRC (Dec 27 2024) Birmingham year-end crime report, citing Birmingham PD — motor_vehicle_theft held 1579 vs reported 1579 is an exact match. rape held 29 vs reported 26 is within tolerance (12%). murder held 115 vs reported 137 criminal ho"
extadj-al0010200-rape,AL0010200,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WBRC (Dec 27 2024) Birmingham year-end crime report, citing Birmingham PD — motor_vehicle_theft held 1579 vs reported 1579 is an exact match. rape held 29 vs reported 26 is within tolerance (12%). murder held 115 vs reported 137 criminal ho"
extadj-al0010200-murder,AL0010200,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WBRC (Dec 27 2024) Birmingham year-end crime report, citing Birmingham PD — motor_vehicle_theft held 1579 vs reported 1579 is an exact match. rape held 29 vs reported 26 is within tolerance (12%). murder held 115 vs reported 137 criminal ho"
extadj-ks1050200-aggravated_assault,KS1050200,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-burglary,KS1050200,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-larceny,KS1050200,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-motor_vehicle_theft,KS1050200,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-murder,KS1050200,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-rape,KS1050200,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ks1050200-robbery,KS1050200,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Kansas Bureau of Investigation, 2024 Crime Index (official state UCR/IBR publication, kansas.gov/kbi), Wyandotte County / Kansas City PD row — IMPORTANT CORRECTION: the task brief's parenthetical labeled KS1050200 as 'Wichita' -- that is wr"
extadj-ca0011200-aggravated_assault,CA0011200,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-burglary,CA0011200,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-larceny,CA0011200,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-motor_vehicle_theft,CA0011200,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-murder,CA0011200,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-rape,CA0011200,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ca0011200-robbery,CA0011200,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for San Leandro — Exact match on all seven held offenses against California's official state Crimes-and-Clearances submission"
extadj-ohcop0000-aggravated_assault,OHCOP0000,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"10TV/NBC4 Columbus (Jan 2025), 'Columbus releases number of homicides, other violent crimes reported in 2024', citing Columbus Division of Police year-end release — aggravated_assault held 1929 vs reported 1929 exact match; rape held 1137 v"
extadj-ohcop0000-murder,OHCOP0000,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"10TV/NBC4 Columbus (Jan 2025), 'Columbus releases number of homicides, other violent crimes reported in 2024', citing Columbus Division of Police year-end release — aggravated_assault held 1929 vs reported 1929 exact match; rape held 1137 v"
extadj-ohcop0000-rape,OHCOP0000,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"10TV/NBC4 Columbus (Jan 2025), 'Columbus releases number of homicides, other violent crimes reported in 2024', citing Columbus Division of Police year-end release — aggravated_assault held 1929 vs reported 1929 exact match; rape held 1137 v"
extadj-ca0191900-aggravated_assault,CA0191900,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-burglary,CA0191900,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-larceny,CA0191900,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-motor_vehicle_theft,CA0191900,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-murder,CA0191900,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-rape,CA0191900,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-ca0191900-robbery,CA0191900,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Cerritos — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission (mu"
extadj-pa0233700-murder,PA0233700,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Upper Darby, PA crime profile (2024 FBI UCR data) — Held murder 4 matches the reported 2024 figure exactly. Note this aggregator likely republishes the same underlying FBI/CDE submission rather than an independent count, so t"
extadj-ca0193100-aggravated_assault,CA0193100,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-burglary,CA0193100,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-larceny,CA0193100,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-motor_vehicle_theft,CA0193100,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-murder,CA0193100,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-rape,CA0193100,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0193100-robbery,CA0193100,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Huntington Park — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submiss"
extadj-ca0010400-aggravated_assault,CA0010400,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-burglary,CA0010400,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-larceny,CA0010400,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-motor_vehicle_theft,CA0010400,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-murder,CA0010400,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-rape,CA0010400,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-ca0010400-robbery,CA0010400,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"California DOJ / CJSC 'Crimes and Clearances with Arson' 1985-2024 dataset (data-openjustice.doj.ca.gov), 2024 row for Emeryville — Exact match on all seven held offenses against California's official 2024 Crimes-and-Clearances submission ("
extadj-nj0070900-aggravated_assault,NJ0070900,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-burglary,NJ0070900,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-larceny,NJ0070900,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-motor_vehicle_theft,NJ0070900,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-murder,NJ0070900,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-rape,NJ0070900,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-nj0070900-robbery,NJ0070900,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"plaincrime.com Irvington, NJ crime profile (2024 FBI UCR data) — Held murder 5 matches exactly. Held violent total (murder+rape+robbery+agg_assault = 5+26+149+90 = 270) matches the reported 270 violent crimes exactly; held property total (b"
extadj-ct0015500-aggravated_assault,CT0015500,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-burglary,CT0015500,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-larceny,CT0015500,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-motor_vehicle_theft,CT0015500,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-murder,CT0015500,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-rape,CT0015500,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-ct0015500-robbery,CT0015500,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 Town Data table — Official CT report gives only aggregate NIBRS buckets, not classic Part I offense splits. Held viol"
extadj-wa0174300-aggravated_assault,WA0174300,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-burglary,WA0174300,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-larceny,WA0174300,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-motor_vehicle_theft,WA0174300,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-murder,WA0174300,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-rape,WA0174300,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-wa0174300-robbery,WA0174300,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"city-data.com Shoreline, WA crime profile (2024 FBI UCR data) — Held violent total (murder+rape+robbery+agg_assault = 1+24+56+51 = 132) matches the reported 132 violent crimes exactly; held property total (burglary+larceny+mvt = 303+942+331"
extadj-ctcsp0000-aggravated_assault,CTCSP0000,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 'Towns Under State Police Jurisdiction' table, summed across all 77 CSP-covered towns — Official CT report only gives"
extadj-ctcsp0000-burglary,CTCSP0000,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"Connecticut DESPP, 'Crime in Connecticut 2024' Annual Report (official state UCR program, portal.ct.gov/despp), Section 13 'Towns Under State Police Jurisdiction' table, summed across all 77 CSP-covered towns — Official CT report only gives"
