state_abbr,priority_rank,ori9,agency_name,agency_type_name,review_lane,mismatch_reason,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,issue_type,issue_subtype,action_priority,recommended_master_action,recommended_source_action,recommended_next_step,doctrine_implication,packet_dir,recommendation_id,priority,affected_rows,target_scope,official_source_url,local_supporting_artifact,recommended_v2_action,implementation_readiness,doctrine_candidate,notes,priority_num
FL,,,,,,,,,,,,,,,broader_florida_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/fl,FL-3,3,32,Florida quarter-based and annual-only continuity QA,https://www.fdle.state.fl.us/cjab/fibrs,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/supporting_issue_metrics.csv,Add a Florida-specific QA rule that accepts quarter-based completeness for official FIBRS-derived records and separately flags annual-only or lumpy batches instead of forcing month-level failure states.,queue_or_doctrine,yes,"Florida has 12 partial reporters in the statewide exploration file and 20 lumpy quarterly-pattern candidates, while the official workbook itself is quarter-based.",3.0
GA,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/ga,GA-3,3,116,Georgia official-start-by-2024 NIBRS rows with no repo 2024 observation,https://gbi.georgia.gov/document/document/2024-crime-statistics-summary/download,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ga/issue_bucket_summary.csv,Queue a bounded Georgia backfill lane for the 116 official-start-by-2024 NIBRS rows after the agency-level official extract is available. Do not mix them into the main mixed-source policy decision.,ready_to_queue,yes,"These rows are real completeness gaps, but they are all zero-support today and should not outrank the high-impact mixed-source lane.",3.0
LA,,,,,,,,,,,,,,,present_but_missing_2024_observation,,,,,,,state/review/source_packets/states/la,LA-3,3,59,Rows present in master but missing all 2024 observations without official effective-NIBRS status,https://app.lla.la.gov/publicreports.nsf/0/feba967abcfeb8ae86258ac400593f3a/%24file/00003c8c.pdf,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/la/research_findings.json,"Treat this bucket as a continuity/nonreporting lane, not a source-policy disagreement lane. Keep entities like New Orleans PD and Louisiana State Police in statewide gap accounting and targeted notes rather than deleting them from master or forcing a replacement source.",queue_or_doctrine,yes,"This bucket is dominated by city agencies, with additional university, county, state police, and other state-agency rows.",3.0
MS,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/ms,MS-3,3,40,Official effective-by-2024 rows present in master but missing repo observations,https://mscrimestats.dps.ms.gov/tops,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/effective_nibrs_backfill_candidates.csv,"Backfill the 40 present-in-master official effective-NIBRS rows first from the Mississippi Crime Insight/TOPS source, prioritizing Biloxi, Gulfport, Ocean Springs, Adams County, Brookhaven, and the six Mississippi Highway Patrol troop ORIs.",ready_to_implement,yes,This is the clearest bounded production lane once the state-source extractor exists.,3.0
NJ,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/nj,NJ-3,3,14,Official 2024-effective NIBRS rows present in master but missing any 2024 observation,https://www.nj.gov/njsp/ucr/current-crime-data.shtml,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/nj/supporting_issue_metrics.csv,"Queue a bounded coverage review for the 14 official 2024-effective NIBRS rows that have no repo SRS or NIBRS observations. Start with Atlantic County Sheriff's Office, Salem County Sheriff's Office, Union County Sheriff's Office, and the three university rows, and verify whether the public NJ current-crime surface, CDE, or direct agency releases show true zero reporting, delayed reporting, or missing ingestion.",ready_to_queue,yes,"When official year-effective NIBRS exists but the repo has no observations, treat the row as a coverage-review lane before treating it as a reference or source-policy failure.",3.0
NY,,,,,,,,,,,,,,,present_but_missing_2024_observation,,,,,,,state/review/source_packets/states/ny,NY-3,3,80,Zero-support present-in-master tail,https://www.criminaljustice.ny.gov/crimnet/ojsa/stats.htm,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ny/supporting_issue_metrics.csv,"Do not treat the 80-row no-observation tail as a production blocker. Monitor it, and only queue secondary review for the nine rows that are official effective-NIBRS by 2024 if a concrete public 2024 source path is found.",monitor_only,yes,These rows carry zero current mismatch weight. Most are small local or special-jurisdiction rows rather than benchmark-bearing agencies.,3.0
TX,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/tx,TX-3,3,3,Three official-effective-NIBRS ISD rows still using repo SRS annual support,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/TX,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/tx/source_review_queue.csv,Run a bounded official-source spot check or backfill for Hallsville ISD Centerpoint ISD and Wharton ISD before considering any broader Texas source-policy change.,ready_to_queue,yes,This is a tiny bounded disagreement lane with only one support count per row.,3.0
FL,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/fl,FL-4,4,134,County-suffixed Agriculture and DEP roster stub rows,https://www.fdle.state.fl.us/CJAB/UCR,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/research_findings.json,Do not bulk-add the 67 Agriculture A00X rows or the 67 DEP A20X rows to the repo master unless they surface with offense-bearing 2024 observations or a stable production crosswalk.,ready_to_queue,yes,These rows dominate Florida missing-master counts but are roster-policy entities rather than the main benchmark-bearing local source gap.,4.0
GA,,,,,,,,,,,,,,,broader_georgia_reporting_structure_or_continuity_issue,,,,,,,state/review/source_packets/states/ga,GA-4,4,49,Georgia State Patrol post/headquarters rows,https://gbi.georgia.gov/services/crime-statistics/gbi-crime-statistics-database,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ga/research_findings.json,Hold Georgia State Patrol post/headquarters rows out of ordinary source backfill work and treat them as a state-structure/nonlocal review lane.,ready_to_queue,yes,"These 49 rows are present in master, have no 2024 observations, and are not official-effective-NIBRS. They should not be mistaken for local missing-source rows.",4.0
LA,,,,,,,,,,,,,,,master_reference_omission,,,,,,,state/review/source_packets/states/la,LA-4,4,1,Central Police Department only,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/la/issue_bucket_summary.csv,Do not add Central Police Department to a 2024 master patch. The official roster start date is 2025-01-01 and the row is not effective NIBRS for 2024.,monitor_only,yes,"This is a future-effective roster row, not a current-year master omission.",4.0
MS,,,,,,,,,,,,,,,master_reference_omission,,,,,,,state/review/source_packets/states/ms,MS-4,4,1,Louin Police Department missing in master despite effective 2024 NIBRS status,https://www.nibrs.dps.ms.gov/sites/nibrs/files/php/Certified%20List%2010-28-2025.pdf,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/missing_master_review_candidates.csv,"Queue Louin Police Department (MS0310300) for targeted master/reference addition after unique-ORI review, then backfill its 2024 state-source data.",ready_to_queue,yes,This is the only Mississippi missing-master row that clearly looks like a current-year production omission rather than future inventory.,4.0
NJ,,,,,,,,,,,,,,,repo_missing_observation_problem,,,,,,,state/review/source_packets/states/nj,NJ-4,4,61,Rows present in master but missing 2024 observations,https://www.nj.gov/njsp/ucr/current-crime-data.shtml,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/nj/research_findings.json,"Keep the master rows intact and treat the broader 61-row no-observation set as a monitoring queue rather than a blind backfill or deletion lane. The NJSP current-crime page says zeros can mean no offenses or delinquency and may omit ancillary agencies, so prosecutor, sheriff, park-police, and other special rows need explicit evidence before any 2024 treatment change.",ready_to_queue,yes,"Rows present in master but missing 2024 observations are a coverage and reporting-structure problem, not a master-layer omission, when the state public current data is explicitly preliminary and ambiguity remains about delinquent versus zero reporting.",4.0
NY,,,,,,,,,,,,,,,master_reference_omission,,,,,,,state/review/source_packets/states/ny,NY-4,4,1,SUNY Albany (Plaza) roster-only omission,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/NY,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ny/issue_bucket_summary.csv,Do not add the lone missing-master NY row from the roster alone. It has no 2024 repo observations and no effective-NIBRS signal.,monitor_only,yes,"Unlike California, NY does not have a support-bearing missing-master lane in 2024.",4.0
TX,,,,,,,,,,,,,,,rows_present_in_master_but_missing_2024_observations,,,,,,,state/review/source_packets/states/tx,TX-4,4,355,Official-effective-NIBRS rows present in master but with no 2024 repo observations,https://www.dps.texas.gov/section/crime-records/uniform-crime-reporting-program-ucr-overview,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/tx/supporting_issue_metrics.csv,Keep this as a second-pass Texas backfill or zero-report distinction queue and prioritize older-start local city county and university rows ahead of the larger constable and ISD tail.,ready_to_queue,yes,The background queue is real but low-value on first pass because most rows are Other-type institutions with zero support.,4.0
FL,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/fl,FL-5,5,11,Non-stub missing-master exceptions,https://www.fdle.state.fl.us/getContentAsset/d7a9c200-43fd-4a08-8f39-fe9382115a42/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q3.xlsx?language=en,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/fl/research_findings.json,"Manual-review the 11 non-stub exceptions for real master additions or crosswalk fixes, especially Florida State College at Jacksonville, Deltona Police Department, DeBary Police Department, Westlake Police Department, and Florida Gaming Control Commission.",ready_to_queue,no,These are small enough for case-by-case cleanup and should not be mixed into the broader county-stub policy decision.,5.0
GA,,,,,,,,,,,,,,,master_reference_omission,,,,,,,state/review/source_packets/states/ga,GA-5,5,1,Georgia zero-support missing-master tail,https://gbi.georgia.gov/services/crime-statistics/gbi-crime-statistics-database,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ga/issue_bucket_summary.csv,Do not add Bacon County Schools to the production master unless it later appears with offense-bearing observations or a stronger official-source requirement.,ready_to_queue,yes,Georgia has only one missing-master row and it carries zero current support.,5.0
LA,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/la,LA-5,5,0,Louisiana current packet-level source-policy disagreements,https://crimeinla.org/overview/,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/la/research_findings.json,No packet-level source-policy overrides are recommended. Louisiana currently has no live 2024 rows with conflicting observed source preference; the state packet is dominated by missing-observation and statewide continuity issues instead.,no_action,yes,Preserve the absence of source-policy disagreement rows as an explicit finding.,5.0
MS,,,,,,,,,,,,,,,source_policy_disagreement,,,,,,,state/review/source_packets/states/ms,MS-5,5,25,Future-dated and state-special missing-master inventory,https://www.nibrs.dps.ms.gov/sites/nibrs/files/php/Certified%20List%2010-28-2025.pdf,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/ms/missing_master_review_candidates.csv,Do not bulk-add the remaining 25 Mississippi missing-master rows until they surface with offense-bearing 2024 observations or a stable production crosswalk; most are 2025-start state-special entities or headquarters-style inventory.,ready_to_queue,yes,Bulk-adding these rows would mostly expand policy inventory rather than closing the 2024 benchmark gap.,5.0
TX,,,,,,,,,,,,,,,master_reference_omission_context,,,,,,,state/review/source_packets/states/tx,TX-5,5,119,Zero-support missing-master roster rows,https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/TX,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/source_packets/states/tx/issue_bucket_summary.csv,Do not bulk-add the zero-support Texas missing-master tail to production master and only revisit rows that gain live repo observations or a validated official-source path.,ready_to_adopt,yes,Texas follows the same roster-stub doctrine as CA and FL here.,5.0
CA,1,CA0349950,Highway Patrol: North Sacramento Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,1543.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,3,CA0349952,Highway Patrol: South Sacramento Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,700.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,5,CA0079920,Highway Patrol: Contra Costa Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,444.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,7,CA0019970,Highway Patrol: Oakland Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,438.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,10,CA0509965,Highway Patrol: Modesto Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,357.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,11,CA028090X,American Canyon Police Department,City,missing_in_repo_master,missing_in_repo_master,True,True,2022-12-01,False,True,nibrs_incident_annual,annual_only_but_usable,324.0,master_reference_omission,non_chp_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the master roster and relink the existing 2024 repo NIBRS annual observations already present for the ORI.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,12,CA0399965,Highway Patrol: Stockton Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,314.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,13,CA0549980,Highway Patrol: Visalia Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,312.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,18,CA0179951,Highway Patrol: Clear Lake Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,216.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,19,CA0449920,Highway Patrol: Santa Cruz Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,212.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,20,CA0019945,Highway Patrol: Hayward Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,205.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
CA,21,CA0159920,Highway Patrol: Bakersfield Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,203.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap,state/review/source_packets/states/ca,,,,,,,,,,,
