year,source_name,source_url,published_label,extract_role,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,published_total,comparison_target_v2_offense,comparison_quality,source_line_reference,notes
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Homicide,v2_core_exact,0,0,0,0,1,0,1,0,1,1,0,0,5,murder,exact,L593,City page labels this row as Homicide within the UCR Part 1 table. The displayed annual total is 5 even though the visible monthly cells sum to 4.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Arson,context_only,0,0,1,1,0,1,0,0,0,0,0,0,3,,not_in_v2_core,L606,Published on the city page but outside the V2 core offense frame.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,TOTAL,context_only,72,81,108,104,100,111,96,98,88,75,68,65,1066,,context_only,L607,Full page total across the city's published UCR Part 1 rows.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Homicide,v2_core_exact,0,0,0,0,1,2,0,0,0,0,0,0,3,murder,exact,L613,City page labels this row as Homicide within the UCR Part 1 table.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Rape,v2_core_exact,1,1,1,0,0,2,1,0,1,0,2,0,9,rape,exact,L614,Direct city UCR Part 1 row.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery,v2_core_exact,3,5,3,4,4,5,3,6,5,5,5,3,51,robbery,exact,L615,Parent robbery total on the city page.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Firearm,subslice_context,2,2,1,1,2,2,0,3,3,2,1,1,20,robbery,published_subslice,L616,Published weapon subtype of robbery; not a standalone V2 offense.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Knife,subslice_context,0,0,0,1,0,0,0,0,0,0,0,0,1,robbery,published_subslice,L617,Published weapon subtype of robbery; not a standalone V2 offense.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Other,subslice_context,1,1,2,1,0,0,1,1,0,0,1,1,9,robbery,published_subslice,L618,Published weapon subtype of robbery; not a standalone V2 offense.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Strong Arm,subslice_context,0,2,0,1,2,3,2,2,2,3,3,1,21,robbery,published_subslice,L619,Published robbery subtype; subslices sum to the robbery parent row.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Assaults,context_only,38,46,39,43,44,50,37,33,46,32,30,34,472,,broader_than_target,L620,Broader assault family that contains aggravated and simple assault subtotals.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Aggravated Subtotal,v2_core_exact,12,14,11,10,15,16,4,6,19,5,8,11,131,aggravated_assault,exact,L621,Directly comparable aggravated assault subtotal nested under Assaults.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Simple Assaults Subtotal,context_only,26,32,28,33,29,34,33,27,27,27,22,23,341,,not_in_v2_core,L622,Published city subtotal outside the V2 core offense frame.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Burglary,v2_core_exact,14,5,7,3,10,6,15,12,5,3,9,5,94,burglary,exact,L623,Direct city UCR Part 1 row.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Larceny,v2_core_exact,40,21,31,41,25,29,52,42,52,46,28,32,328,larceny,exact,L624,The page's displayed annual total is 328 even though the visible monthly cells on the fetched page text sum higher; use the published annual total for targeted repair and treat the monthly cells cautiously.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Vehicle Theft,v2_core_exact,5,6,7,5,4,4,6,4,4,0,7,5,57,motor_vehicle_theft,exact,L625,Direct city UCR Part 1 row.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Arson,context_only,0,0,0,0,0,1,1,0,0,0,0,0,2,,not_in_v2_core,L626,Published on the city page but outside the V2 core offense frame.
2023,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,TOTAL,context_only,101,84,88,96,88,99,115,97,113,86,81,79,1127,,context_only,L627,The 2024 comparison row above the table lists 2023 February as 88 and annual total as 1126; the 2023 table row itself shows February 84 and annual total 1127.
