city_key,packet_dir,packet_status,current_owner,production_ready,city_share_integration_status,reconciliation_status,has_research_findings,has_reconciliation_summary,has_packet_offense_status,offense_selective_ready_count,offense_selective_ready_offenses,central_recommended_disposition,packet_recommended_disposition,source_name,state_abbr
mesa,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/mesa,reviewed,codex,partial,offense_selective,2024_public_reconciliation_complete_property_and_robbery_ready_person_offenses_blocked,1,1,1,4,burglary|larceny|motor_vehicle_theft|robbery,ready_now,ready_now,Mesa Police incidents 2020-present,AZ
los_angeles,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/los_angeles,review_complete,codex,no,blocked,fragmented_public_contract_blocked,1,1,1,0,,blocked,blocked,LAPD legacy geocoded incidents plus public NIBRS companion feeds,CA
san_francisco,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/san_francisco,reviewed,codex,partial,offense_selective,2024_2025_official_reconciliation_five_offense_path_ready,1,1,1,5,aggravated_assault|burglary|larceny|motor_vehicle_theft|robbery,ready_now,ready_now,SFPD incidents early + late feeds,CA
denver,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/denver,review_complete,codex,partial,offense_selective,2024_public_reconciliation_complete_six_offense_selective_path_ready,1,1,1,6,aggravated_assault|burglary|larceny|motor_vehicle_theft|murder|robbery,ready_now,ready_now,Denver Crime feature service plus Denver crime-information dashboard/archive anchors,CO
washington_dc,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/washington_dc,review_complete,codex,partial,offense_selective,2024_public_reconciliation_complete_six_offense_selective_path_ready,1,1,1,6,aggravated_assault|burglary|larceny|motor_vehicle_theft|murder|robbery,ready_now,ready_now,MPD Crime Incidents in 2024 plus MPD year-end crime summary anchors,DC
chicago,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/chicago,review_complete,codex,yes,live,citywide_path_retained_2023_public_reconciliation_complete,1,1,0,0,,ready_now,ready_now,Chicago Crimes 2001 to Present,IL
boston,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/boston,reviewed,codex,partial,offense_selective,2024_public_reconciliation_complete_larceny_and_mvt_ready_others_not_ready,1,1,1,2,larceny|motor_vehicle_theft,ready_now,ready_now,Boston Police Department Crime Incident Reports (August 2015 - To Date) (Source: New System),MA
baltimore,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/baltimore,review_complete,codex,partial,offense_selective,2024_legacy_packet_local_reconciliation_revalidated_offense_selective_live,1,1,1,4,aggravated_assault|larceny|rape|robbery,ready_now,ready_now,Baltimore legacy SRS Part 1 feed + Baltimore NIBRS Group A companion feed,MD
detroit,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/detroit,research_complete,codex,no,do_not_promote_counting_semantics_not_defended,extract_validated_but_incident_vs_victim_vehicle_semantics_not_defended,1,1,1,0,,counts_usable_not_city_share_promotable,counts_usable_not_city_share_promotable,Detroit Crime Viewer plus RMS Crime Incidents 2024 service plus DPD 2024 year-end stats,MI
minneapolis,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/minneapolis,review_complete,codex,partial,offense_selective,2024_public_reconciliation_complete_six_offense_selective_path_ready,1,1,1,6,aggravated_assault|burglary|larceny|motor_vehicle_theft|murder|robbery,ready_now,ready_now,Minneapolis Crime_Data feature service plus official crime dashboard/document anchors,MN
st_louis_mo,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/st_louis_mo,review_complete,codex,yes,offense_selective,2024_cius_reconciliation_complete_six_total_candidate_one_share_only,1,1,1,7,aggravated_assault|burglary|larceny|motor_vehicle_theft|murder|rape|robbery,ready_now,ready_now,SLMPD NIBRS Crime Files,MO
new_york,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/new_york,review_complete,codex,yes,live,legacy_live_citywide_path_retained_with_known_larceny_comparability_limit,1,1,0,0,,ready_now,ready_now,NYPD Complaint Data Historic + Current feeds,NY
portland,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/portland,research_complete,codex,no,do_not_promote_public_geometry_censored,public_export_contract_validated_block_level_generalized_and_selectively_suppressed,1,1,0,0,,counts_usable_not_city_share_promotable,counts_usable_not_city_share_promotable,PPB reported crime open data plus Tableau year downloads plus 2024 annual report,OR
philadelphia,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/philadelphia,review_complete,codex,yes,offense_selective,2024_reconciled_to_official_ppd_year_end_citywide_table,1,1,1,2,aggravated_assault|burglary,ready_now,ready_now,City of Philadelphia Crime Incidents / incidents_part1_part2,PA
nashville,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/nashville,research_complete,codex,no,do_not_promote_public_bulk_geometry_too_coarse,precise_mark_export_validated_but_bulk_geometry_too_coarse,1,1,0,0,,counts_usable_not_city_share_promotable,counts_usable_not_city_share_promotable,MNPD UCR incidents dashboard plus crime-statistics reports,TN
austin,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/austin,review_complete,codex,yes,offense_selective,2024_2025_reconciled_exact_path_closed_aggravated_assault_nonexact,1,1,1,4,burglary|larceny|motor_vehicle_theft|robbery,ready_now,ready_now,Austin APD Crime Reports,TX
seattle,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/seattle,review_complete,codex,yes,offense_selective,2024_waspc_reconciliation_offense_selective_path_ready_aggravated_assault_blocked,1,1,1,6,burglary|larceny|motor_vehicle_theft|murder|rape|robbery,ready_now,ready_now,Seattle SPD Crime Data 2008 to Present,WA
