concept_family,concept_name,ags_consistent,protected_or_excluded_flag,source_family,source_dataset,table_or_variable_codes_or_fields,available_at_bg,available_at_tract,available_current_year,public_access_status,proposed_transformation,priority,research_notes,source_links
hh,hh_computer_no_internet_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_dialup_only_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_female_no_spouse_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_female_no_spouse_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_male_no_spouse_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_male_no_spouse_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_married_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_married_no_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_married_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_single_parent_with_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_with_children_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_family_with_children_within_family_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_income_100_200k_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_income_200k_plus_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_income_25_50k_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_income_50_100k_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_income_lt25k_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_no_internet_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_no_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_other_service_only_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_satellite_only_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_satellite_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_under18_nonfamily_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_under18_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_wired_broadband_only_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hh,hh_wired_broadband_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
housing,housing_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
housing,housing_occupied_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_aadt_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_arterial_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_collector_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_lane_aadt_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_mean_aadt,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_nhs_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_truck_aadt_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
hpms,hpms_truck_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
internal,internal_census_road_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
jobs,jobs_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
jobs,jobs_per_capita,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
jobs,jobs_wac_to_rac_ratio,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
labor,labor_force_per_capita,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
land,land_area_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
limited,limited_access_road_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
limited,limited_access_road_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
local,local_road_length_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ca01_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ca02_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ca03_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cd01_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cd02_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cd03_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cd04_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ce01_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ce02_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_ce03_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns01_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns02_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns03_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns04_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns05_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns06_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns07_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns08_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns09_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns10_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns11_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns12_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns13_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns14_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns15_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns16_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns17_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns18_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns19_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cns20_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
lodes,lodes_cs01_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_aland20,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_daytime_population_jobs_proxy,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_daytime_population_jobs_proxy_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_housing_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_jobs_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_jobs_per_capita,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_jobs_rac,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_jobs_wac,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_population_density_sqkm,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
log,log_total_population,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_15_24_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_18_24_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_18_29_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_18_34_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_25_34_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_25_44_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_35_54_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_45_64_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_65plus_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
male,male_under18_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_age,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_age_female,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_age_male,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_home_value_2024,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_household_income_2024,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
median,median_rent_2024,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nearest,nearest_acute_care_hospital_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nearest,nearest_emergency_hospital_km,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_agriculture_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_11,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_21,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_22,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_23,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_24,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_31,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_41,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_42,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_43,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_52,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_71,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_81,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_82,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_90,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_count_95,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_descriptor_count_0,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_descriptor_count_1,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_descriptor_count_2,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_developed_high_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_developed_low_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_forest_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_impervious_ge20_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_impervious_mean,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_impervious_p90,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_nodata_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_nonroad_urban_descriptor_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_road_descriptor_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_shrub_grass_barren_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
nlcd,nlcd_wetland_water_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
occupied,occupied_units_per_capita,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
overcrowded,overcrowded_occupied_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
owner,owner_2plus_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
owner,owner_no_vehicle_share,,False,current_v2_feature_frame,,,True,True,,implemented,already_in_feature_frame,implemented,Current modeled-surface covariate already present in V2 feature frame.,
