city_key,year,v2_offense,source_variant,source_count,source_mapping_basis,published_count,published_source_name,published_source_url,published_label,comparison_quality,diff_source_minus_published,pct_diff_source_minus_published,recommendation,notes
austin,2024_full_year,aggravated_assault,socrata_exact_ucr_category,2485,ucr_category=13A,3039,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Aggravated Assault,exact,-554,-18.23,blocked,Direct public category is materially low.
austin,2024_full_year,aggravated_assault,socrata_empirical_tail_candidate,3038,ucr_category=13A plus null ucr_code in 903 909 911 2013,3039,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Aggravated Assault,nonexact_empirical,-1,-0.03,blocked_nonexact,Counts close, but APD's published code lookup places 0903 0909 0911 and 2013 under 13B Simple Assault rather than 13A.
austin,2024_full_year,aggravated_assault,crimeviewer_public_layer,2615,CrimeViewer layer 2 aggravated assault points,3039,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Aggravated Assault,supporting_public_layer,-424,-13.95,blocked,Second public product still undercounts materially and uses a different code family.
austin,2025_jan_may,aggravated_assault,socrata_exact_ucr_category,907,ucr_category=13A,1104,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Aggravated Assault,exact,-197,-17.84,blocked,Current official Jan-May 2025 TXDPS UCR table confirms persistent direct 13A undercount.
austin,2025_jan_may,aggravated_assault,socrata_empirical_tail_candidate,1115,ucr_category=13A plus null ucr_code in 903 909 911 2013,1104,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Aggravated Assault,nonexact_empirical,11,1.00,blocked_nonexact,Counts close, but APD's published code lookup places 0903 0909 0911 and 2013 under 13B Simple Assault rather than 13A.
austin,2025_jan_nov,aggravated_assault,socrata_exact_ucr_category,2019,ucr_category=13A,2452,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Aggravated Assault,exact,-433,-17.66,blocked,Current official Jan-Nov 2025 TXDPS UCR table confirms persistent direct 13A undercount.
austin,2025_jan_nov,aggravated_assault,socrata_empirical_tail_candidate,2499,ucr_category=13A plus null ucr_code in 903 909 911 2013,2452,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Aggravated Assault,nonexact_empirical,47,1.92,blocked_nonexact,Counts close, but APD's published code lookup places 0903 0909 0911 and 2013 under 13B Simple Assault rather than 13A.
austin,2024_full_year,burglary,socrata_exact_ucr_category,4135,ucr_category=220,4411,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Burglary/Breaking & Entering,exact,-276,-6.26,offense_selectively_promotable,Moderate undercount but stable and much smaller than aggravated assault or murder.
austin,2025_jan_may,burglary,socrata_exact_ucr_category,1588,ucr_category=220,1725,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Burglary/Breaking & Entering,exact,-137,-7.94,offense_selectively_promotable,Current official Jan-May 2025 TXDPS UCR table remains close enough for the exact path.
austin,2025_jan_nov,burglary,socrata_exact_ucr_category,3724,ucr_category=220,4034,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Burglary/Breaking & Entering,exact,-310,-7.68,offense_selectively_promotable,Current official Jan-Nov 2025 TXDPS UCR table remains close enough for the exact path.
austin,2024_full_year,larceny,socrata_exact_ucr_category,21831,ucr_category in 23A 23B 23C 23D 23E 23F 23G 23H,21985,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Larceny/Theft Offenses,exact,-154,-0.70,offense_selectively_promotable,Very close direct public reconciliation.
austin,2025_jan_may,larceny,socrata_exact_ucr_category,8946,ucr_category in 23A 23B 23C 23D 23E 23F 23G 23H,8541,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Larceny/Theft Offenses,exact,405,4.74,offense_selectively_promotable,Current official Jan-May 2025 TXDPS UCR table remains close enough for the exact path.
austin,2025_jan_nov,larceny,socrata_exact_ucr_category,20206,ucr_category in 23A 23B 23C 23D 23E 23F 23G 23H,19929,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Larceny/Theft Offenses,exact,277,1.39,offense_selectively_promotable,Current official Jan-Nov 2025 TXDPS UCR table remains close enough for the exact path.
austin,2024_full_year,motor_vehicle_theft,socrata_exact_ucr_category,5828,ucr_category=240,5968,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Motor Vehicle Theft,exact,-140,-2.35,offense_selectively_promotable,Close direct public reconciliation.
austin,2025_jan_may,motor_vehicle_theft,socrata_exact_ucr_category,1809,ucr_category=240,1846,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Motor Vehicle Theft,exact,-37,-2.00,offense_selectively_promotable,Current official Jan-May 2025 TXDPS UCR table remains close enough for the exact path.
austin,2025_jan_nov,motor_vehicle_theft,socrata_exact_ucr_category,3953,ucr_category=240,4044,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Motor Vehicle Theft,exact,-91,-2.25,offense_selectively_promotable,Current official Jan-Nov 2025 TXDPS UCR table remains close enough for the exact path.
austin,2024_full_year,all_core_v2,socrata_exact_bundle,35846,sum of direct public mappings above,36980,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Sum of comparable published rows,mixed,-1134,-3.07,blocked,Overall exact bundle gap is explained mainly by aggravated assault plus a smaller murder gap and does not support full-city promotion.
austin,2024_full_year,robbery_burglary_larceny_motor_vehicle_theft,socrata_exact_bundle,32612,sum of direct public mappings for robbery burglary larceny and motor_vehicle_theft,33208,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Sum of comparable published rows,mixed,-596,-1.79,offense_selectively_promotable,Recommended clean exact-comparable promotion path for 2024.
austin,2025_jan_may,robbery_burglary_larceny_motor_vehicle_theft,socrata_exact_bundle,12670,sum of direct public mappings for robbery burglary larceny and motor_vehicle_theft,12461,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Sum of comparable published rows,mixed,209,1.68,offense_selectively_promotable,Current Jan-May 2025 official TXDPS UCR table confirms the four-offense exact path remains stable.
austin,2025_jan_nov,robbery_burglary_larceny_motor_vehicle_theft,socrata_exact_bundle,28587,sum of direct public mappings for robbery burglary larceny and motor_vehicle_theft,28746,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Sum of comparable published rows,mixed,-159,-0.55,offense_selectively_promotable,Current Jan-Nov 2025 official TXDPS UCR table confirms the four-offense exact path remains stable.
