source_id,authority_tier,source_family,title,url,local_anchor_path,years,geography_level,unit_of_analysis,methodology_role,surface_form,public_access,v2_should_drive_inputs,v2_good_for,v2_not_for,methodology_notes
cde_download_master_ytd,official_primary,FBI CDE Downloads,Master File Downloads (Year-to-Date),https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,,current calendar year monthly,varies by collection,raw/master files,provisional in-year monitoring surface,master_raw,open_with_download_selection,no,in-year monitoring before annual close,stable annual releases,Year-to-date files are provisional by design and should not anchor a stable V2 annual source lane.
cde_download_srs_estimated,official_primary,FBI CDE Downloads,Summary Reporting System (SRS) Estimated Crimes Dataset,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/page-2026-03-22T17-46-29-757Z.yml,1979-2024,national; state,legacy estimated crime totals,traditional FBI estimate series,estimate_series,open,conditional,long-run national/state continuity in the traditional FBI estimate lane,NIBRS-only estimation; agency-level reconciliation; incident detail,The download-page description says these state/national estimates were derived from SRS and match the estimates traditionally included in FBI annual publications.
cde_download_participation,official_primary,FBI CDE Downloads,Uniform Crime Reporting Program Participation Data,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/.playwright-cli/ucr-participation-1960-2024.csv,1960-2024,state,state-year participation and covered population,coverage-context surface,participation_coverage,open,yes,state-year reporting coverage; denominator context; transition coverage framing,crime totals; ORI roster authority; agency reporting-regime decisions,The FBI describes this dataset as agencies reporting in any format and says it clarifies the percentage of population covered by reported data.
fbi_ucr_publications,official_primary,FBI UCR Publications,UCR Publications,https://www.fbi.gov/how-we-can-help-you/more-fbi-services-and-information/ucr/publications,,historical publications through 2019,national; state; agency depending report,archived publication tables and reports,pre-CDE publication-continuity surface,publication_table,open,conditional,pre-2020 publication continuity; archived methodology language and table definitions,current monitoring; raw extraction,Use this for historical publication comparability; current annual releases moved to CDE/RCN packaging.
bjs_nibrs_program,official_primary,BJS NIBRS Program,National Incident-Based Reporting System (NIBRS),https://bjs.ojp.gov/data-collection/national-incident-based-reporting-system-nibrs,,1991-present,national,program documentation and coverage context,BJS documentation hub for NIBRS and linked estimate products,documentation,open,no,coverage framing; manuals and ICPSR references; locating official estimate products,direct numeric ingestion,"Useful for program context, not for V2 numeric controls."
bjs_ckle_2024,official_primary,BJS NIBRS Estimation Program,"Crime Known to Law Enforcement, 2024",https://bjs.ojp.gov/document/ckle24.pdf,,2023-2024 in issue; annual series,national; state,published NIBRS estimates,human-readable benchmark publication for BJS/FBI NIBRS estimates,estimate_series,open,yes,official national/state estimate benchmarks; reliability and suppression context,agency-level or raw reported counts,"CKLE states that NIBRS estimates use imputation and weighting, and that prior-year values may be updated as late data are incorporated."
bjs_nibrs_api,official_primary,BJS NIBRS National Estimates API,National Incident-Based Reporting System (NIBRS) National Estimates API,https://bjs.ojp.gov/national-incident-based-reporting-system-nibrs-national-estimates-api,,annual estimates plus archive endpoints,national,incident; offense; victimization estimate tables,machine-usable national NIBRS-estimate surface,api,open,yes,machine pulls of current or archived national BJS estimates,state/city/agency raw reconciliation,The API provides current revised endpoints and separate archive endpoints for originally published prior-year estimates.
bjs_nibrs_estimation_methodology_report,official_primary,BJS methodology documentation,NIBRS Estimation and Extract File Creation Methodology Report,https://bjs.ojp.gov/library/publications/nibrs-estimation-and-extract-file-creation-methodology-report,,methodology report published 2025,national methodology,documentation,current technical documentation for BJS estimate/extract creation,documentation,open,no,audit trail for estimation and extract creation procedures,standalone numeric inputs,"The report describes how BJS receives FBI data, performs data quality checks, and constructs annual estimate/extract products."
bjs_learcat_tool,official_primary,BJS LEARCAT,Law Enforcement Agency Reported Crime Analysis Tool (LEARCAT),https://learcat.bjs.ojp.gov,,2016-2023,full-reporter states; counties; MSAs; selected large agencies,reported incidents and victimizations,secondary exploratory NIBRS-reported-data surface,dynamic_explorer,open,conditional,exploratory reported-crime patterns in full-reporter states and large agencies,official CDE/CIUS count matching; national annual controls,"LEARCAT is useful when its coverage rules fit the question, but it is not definition-identical to CDE and should not be used as a primary reconciliation authority."
bjs_learcat_methodology,official_primary,BJS LEARCAT,LEARCAT Methodology,https://bjs.ojp.gov/learcat-methodology,,methodology published 2024-10-02,varies,documentation,coverage and definition guardrails for LEARCAT,documentation,open,no,explaining why LEARCAT counts/rates differ from CDE,numeric inputs,LEARCAT defines full-reporter states as 90%+ covered population and warns that some offense categories are defined differently than in CDE.
bjs_nibrs_codebook_supplement,official_primary,BJS NIBRS Estimates Documentation,NIBRS Estimates Codebook and Supplementary Documentation,https://bjs.ojp.gov/document/nibrs-codebook-supplementary-documentation.pdf,,current estimate-codebook documentation,national estimate datasets,schema and field definitions,field interpretation for BJS estimate products,documentation,open,no,"interpreting estimate-domain fields, suppression flags, uncertainty fields, and geography variables",standalone numeric inputs,Necessary when ingesting BJS estimate datasets programmatically.
icpsr_ucr_series,secondary_context,ICPSR archival reference,Uniform Crime Reporting Program Data Series,https://www.icpsr.umich.edu/web/ICPSR/series/00057,,1930-present archival framing,national; county; incident varies,archival catalog,secondary archival taxonomy only,secondary_reference,open,no,archival context on long-run UCR components,current official source selection,Useful only as a taxonomy aid when situating legacy UCR collections; not an official V2 input surface.
