# stage1_adjudications registry: twins_adjudicated.csv
# source_registry: state/qa/stage1_adhoc_review/twins_adjudicated.csv
# source_pass: pass 4 (apply_stage1_final_rulings.py) landing on passes 1-3
# rows: live rulings only (the per-class registries hold no superseded rows); the full
#   audit ledger with every superseded instance is state/qa/stage1_adhoc_review/rulings_full.csv
# target_year: not_year_scoped_identity_ruling
# generated_by: scripts/review/source_audit/promote_stage1_adjudications_to_configs.py
# generated_at: 2026-07-30T00:32:54+00:00
# source_sha256: 8cf0366a381792ad691a722fd39530edecd14c623143c2c0f59c794412a20162
# rows_written: 106
case_id,state,n_oris,oris,verdict,canonical_ori,footprint,downstream_action,confidence,needs_review,detail
a3-MI-lyon-township-vs-lyon-township,MI,2,MI6318600;MI7254200,same_agency_merge,MI6318600,26:statewide_overlap_layer | cousub 2614349840 | FIPS 26125 | statewide_overlap_layer,merge_dedupe,high,0,"The 2024 mass belongs to exactly one agency, and the two ORI records describe two different townships 130 miles apart that share a name. CANONICAL ORI9 = MI6318600 — the Oakland County (FIPS 26125) key, carrying 12-month NIBRS and 12-month Return-A in every year 2018-2024 (77 in 2024) with an FBI population served flat at 20,815, consistent with Lyon Charter Township, Oakland County (23,271 at the 2020 census; policed via the Oakland County Sheriff's Office Lyon Township substation). MI7254200 (""lyon township police department roscommon"", Lyon township, Roscommon County, FBI population 1,277, Census cousub 2614349840) must drop to no-report for every year 2018-2024 and must never be own-history filled: it has SRS at ZERO reported months in all seven years and no NIBRS row ever. Correct total for the pair: 77, not 154. FOOTPRINT — the transplant matters here: MI6318600 is crosswalked at weight 1 to 26:statewide_overlap_layer by 'agency_master_fallback' (agency type 'unknown', no place code, absent from the 2024 roster), so today 77 Oakland County offenses are smeared statewide AND 77 more are landed on a rural Roscommon township. The merged record must publish 77 as an exclusive wei"
a3-MA-chestnut-hill-vs-boston-college,MA,2,MA009619E;MA0096500,same_agency_merge,MA009619E,25:statewide_overlap_layer | place 2513625 | statewide_overlap_layer,merge_dedupe,high,0,"One agency: Boston College Police Department. CANONICAL ORI9 = MA009619E — the FBI's 2024 CDE roster names it ""Boston College"" (University or College, MIDDLESEX, nibrs_start 2018-07-01) and it carries the live 12-month NIBRS submission for 2024 (74). MA0096500 is the legacy Massachusetts Return-A key for the same department (panel name ""BOSTON COLLEGE"", crosswalk name ""boston college""), ABSENT from the 2024 roster, and must stop carrying mass. Correct 2024 total for the pair: 74, not 148. The legacy ORI's pre-NIBRS leg (2018 Return-A, 75 on 9 months) should be unioned into the canonical record so the agency keeps a full 2018-2024 series for trend and own-history fills. FOOTPRINT: both ORIs currently sit at weight 1 on 25:statewide_overlap_layer, so 148 campus offenses are today smeared across all of Massachusetts. The merged record must land on the Boston College campus itself — Chestnut Hill, in Newton, Middlesex County, with the Brighton campus parcel spilling into Boston, Suffolk County — as an exclusive campus-block-group assignment. The place code already stored on MA0096500 (plc13625, i.e. Census place 2513625) is the natural candidate and should be validated against the camp"
a2-CA03699-highway-patrol-victorville,CA,10,CA0369950;CA0369930;CA0369955;CA0369934;CA0369960;CA0369901;CA0369908;CA0369965;CA0369970;CA0369975,distinct_agencies,,,keep_all_oris,high,0,"Keep all 10 ORI9s. Block total 126 is correct and involves no double counting. The shared ORI7 CA03699 is CHP's Inland Division numbering block, not a single reporting entity; the ORI9 suffix identifies the area office. CA0369901 (Inland Division) and CA0369908 (Investigative Services Unit) are the only candidate rollup parents and both report 0 in 2024, confirming no parent aggregates the children."
a2-CA04299-highway-patrol-santa,CA,3,CA0429950;CA0429960;CA0429955,distinct_agencies,,,keep_all_oris,high,0,"Keep all three ORI9s. Correct 2024 block total is 108 (CA0429950=46, CA0429960=37, CA0429955=25). No canonical ORI, no merge, no supersession. The 62 counts riding above the largest member are real and must stay."
a3-MI-coloma-city-vs-coloma-township,MI,2,MI1132400;MI1185300,same_agency_merge,MI1185300,place 2617320 | cousub 2602117340,merge_dedupe,high,0,"One agency: Coloma Township Police Department, Berrien County MI. CANONICAL ORI9 = MI1185300 — on the FBI's 2024 roster as ""Coloma Township Police Department"" (BERRIEN, nibrs_start 1995-01-01), carrying 12-month NIBRS and 12-month Return-A for 2024 (62), FBI population 6,377. MI1132400 (""Coloma city"", Census place 2617320, FBI population 1,411) must stop carrying mass in every year and must not be own-history filled: it has SRS at ZERO reported months in all seven years 2018-2024 and no NIBRS row ever, so its entire series (119, 140, 62) is CIUS publication rows reproducing the township department's submissions. Correct 2024 total for the pair: 62, not 124. FOOTPRINT — do not simply zero the city and walk away: the City of Coloma contracts its police services to Coloma Charter Township (verified externally), and in Michigan an incorporated city is a separate county subdivision, so Census cousub 2602117340 (Coloma charter township) does NOT contain Census place 2617320 (Coloma city). Zeroing MI1132400 while leaving MI1185300 on the township cousub alone would leave the city polygon with zero coverage. The merged record should carry 62 on the UNION of cousub 2602117340 and place 2617"
a3-MI-springfield-vs-springfield-township,MI,2,MI1375700;MI6319200,same_agency_merge,MI6319200,26:statewide_overlap_layer | 26:municipal:cousub:2612575760 | place 2675700 | FIPS 26125,merge_dedupe,high,0,"DUPLICATE MASS — canonical ORI9 is MI6319200 (Springfield charter township, Oakland County MI). MI1375700 must stop carrying this mass entirely.

MECHANISM, pinned against the primary record: I pulled the FBI's own published CIUS Table 8 state cuts for Michigan for 2018 and 2019. In BOTH years the table contains exactly ONE Springfield row, and it is named 'Springfield Township': 2018 pop 14,423, violent 11 (murder 0 / rape 2 / robbery 1 / agg 8) plus property 54 (burglary 16 / larceny 32 / MVT 6) = 65 total; 2019 pop 14,554, violent 5 (0/2/0/3) plus property 38 (10/24/4) = 43 total. Those are exactly the panel's CIUS totals attached to MI1375700 (65 in 2018, 43 in 2019), and the 2018 published population of 14,423 is exactly the flat FBIpop the panel carries for MI6319200 in every year. There is NO row for Springfield city, Calhoun County anywhere in the FBI's Michigan table in either year. So every CIUS row the pipeline has attached to MI1375700 is the FBI's Springfield Township (Oakland) row, name-matched onto the wrong ORI — and the matcher accepted a row whose own published population (14,423) is 2.8x the target ORI's FBI population (5,189).

CORROBORATION: MI1375700's own FBI"
a2-CA00499-highway-patrol-oroville,CA,2,CA0049940;CA0049941,distinct_agencies,,06:statewide_overlap_layer | FIPS 06007 | FIPS 06005 | statewide_overlap_layer,keep_all_oris,high,0,"Keep both. 2024 block total 189 = 136 (CA0049940, CHP Oroville Area Office) + 53 (CA0049941, CHP Chico Area Office). These are two physically separate CHP Area commands with adjacent, non-overlapping beats: Oroville is CHP office (240), 2072 3rd Street, Oroville, and Chico is CHP office (241), 413 Southgate Avenue, Chico — both Valley Division, both Butte County. Correct footprint for each is its own CHP Area polygon from the authoritative 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov); failing that, Butte County restricted to state-highway corridors plus unincorporated area. The current 06:statewide_overlap_layer w=1 on both is the real defect in this block. SEPARATE TICKET: this block's county resolution is wrong. The panel gives CA cty005 and the roster county reads AMADOR; Oroville and Chico are both in BUTTE County (FIPS 06007). FBI CA county code 004 = Butte on the alphabetical index (Alameda 001, Alpine 002, Amador 003, Butte 004); Amador is FBI 003 / FIPS 06005. Every other CHP block in this batch resolves correctly (009->017 El Dorado, 010->019 Fresno, 012->023 Humboldt, 013->025 Imperial, 015->029 Kern, 020->039 M"
a2-CA02099-highway-patrol-madera,CA,2,CA0209950;CA0209956,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep both. 2024 block total 136 = 86 (CA0209950, CHP Madera Area Office) + 50 (CA0209956, CHP Oakhurst Area Office). Two separate CHP Area commands in Madera County with disjoint beats — Madera Area the SR-99 valley floor around Madera and Chowchilla, Oakhurst Area the SR-41 Sierra foothills corridor toward Yosemite's south entrance. Correct footprint for each is its own CHP Area polygon from the 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov); failing that, valley-floor vs foothill Madera County restricted to state-highway corridors plus unincorporated area. Both currently at 06:statewide_overlap_layer w=1, which is the defect: 136 counts generated on two Madera County beats are being spread across all 58 California counties."
a2-CA01299-highway-patrol-humboldt,CA,2,CA0129925;CA0129926,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep both. 2024 block total 187 = 144 (CA0129925, CHP Humboldt Area Office, based in Eureka) + 43 (CA0129926, CHP Garberville Area Office). Two separate Northern Division Area commands roughly 65 miles apart on US-101, covering distinct, non-overlapping stretches of Humboldt County — Humboldt Area the Eureka/Arcata/north-county corridor, Garberville Area the southern Humboldt/Redwoods stretch. Correct footprint for each is its own CHP Area polygon from the 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov); failing that, north-county vs south-county Humboldt restricted to state-highway corridors plus unincorporated area. Both currently at 06:statewide_overlap_layer w=1 — the real defect in this block, since 187 counts generated on two Humboldt County beats are being spread across all 58 California counties."
a3-MI-montrose-vs-montrose-township,MI,2,MI2559300;MI2589900,same_agency_merge,MI2589900,place 2655280 | cousub 2604955300,merge_dedupe,high,0,"One agency: Montrose Township Police Department, Genesee County MI. CANONICAL ORI9 = MI2589900 — on the FBI's 2024 roster as ""Montrose Township Police Department"" (GENESEE, nibrs_start 1995-01-01), carrying 12-month NIBRS and 12-month Return-A in every year 2018-2024 (41 in 2024), FBI population 7,605. MI2559300 (""Montrose"", Montrose city, Census place 2655280, FBI population 1,699) must stop carrying mass in every year and must not be own-history filled: SRS at ZERO reported months in all seven years, no NIBRS row ever, and a series (58, 65, 59, 46, 41) built entirely from CIUS publication rows that reproduce the township department's submissions. Correct 2024 total for the pair: 41, not 82. FOOTPRINT: MI2589900's polygon, Census cousub 2604955300 (Montrose charter township), excludes the incorporated City of Montrose (Michigan cities are separate county subdivisions), so simply zeroing MI2559300 would strand Census place 2655280 with no coverage. The population arithmetic says the township department already serves the city: MI2589900's FBI population served is 7,605, against a 2020 census count of 6,005 for Montrose charter township and 1,743 for Montrose city — the 1,600 gap is"
a3-GA-morehouse-college-vs-atlanta,GA,2,GA0604000;GA0604400,same_agency_merge,GA0604000,13:statewide_overlap_layer | place 1304000 | statewide_overlap_layer,merge_dedupe,high,0,"One agency: Morehouse College Police Department, Atlanta, Fulton County GA. CANONICAL ORI9 = GA0604400 — this is the ORI the FBI's own 2024 CDE roster names ""Morehouse College"" (University or College, FULTON, is_nibrs True, nibrs_start 2019-01-01), and it carries a genuine 12-month NIBRS submission for 2024 (38). GA0604000 must stop carrying mass: it is absent from the 2024 roster, its own crosswalk name is ""morehouse college police atlanta"", and its 2024 CIUS row (38) is the Return-A rendering of the same submission — CIUS is the frozen Return-A master, not a second source, so the CIUS=SRS agreement inside GA0604000 is one submission counted twice, and the GA0604000-vs-GA0604400 agreement is that same submission counted a third time. Correct 2024 total for the pair: 38, not 76. Pre-NIBRS history must be unioned into the canonical record rather than discarded — GA0604000 carries 2018 (92) and 2019 (47/48) that GA0604400 does not, and own-history fills for the merged agency should read from that unioned series. FOOTPRINT: both ORIs currently sit at weight 1 on 13:statewide_overlap_layer, so today the pair smears 76 Part-I offenses across all of Georgia. The merged record must land o"
a2-CA02499-highway-patrol-merced,CA,3,CA0249960;CA0249961;CA0249964,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep all three. 2024 block total 106 = 70 (CA0249960 CHP Merced Area Office) + 36 (CA0249961 CHP Los Banos Area Office) + 0 (CA0249964 CHP Chowchilla River Commercial Vehicle Enforcement Facility). Correct footprints: Merced Area -> its CHP Area polygon covering the SR-99 corridor and eastern Merced County; Los Banos Area -> its CHP Area polygon covering the I-5 / SR-152 west side of the county; both from the 'California Highway Patrol Areas and Divisions' layer on the California State Geoportal (gis.data.ca.gov). Chowchilla River CVEF -> the fixed inspection facility site at the Chowchilla River, Merced County, as a point/parcel, and it should carry no allocated mass given it reports zero. All three currently at 06:statewide_overlap_layer w=1."
a3-MI-brandon-township-vs-brandon-township,MI,2,MI6318100;MI6363800,same_agency_merge,MI6318100,26:statewide_overlap_layer | cousub 2612510040 | FIPS 26125 | statewide_overlap_layer,merge_dedupe,high,0,"One agency, two keys, both in Oakland County (FIPS 26125) and both literally named BRANDON TOWNSHIP. CANONICAL ORI9 = MI6318100 — this is the key that actually carries FBI submissions: 12-month NIBRS AND 12-month Return-A in every year 2018-2024, with an FBI population served of 15,962 that matches Brandon Charter Township. MI6363800 must stop carrying mass: it has SRS at ZERO reported months in all seven years and no NIBRS row ever, so it has never submitted anything; its entire 2018-2024 series consists of CIUS publication rows (63, 62, 48, 39, 36) that reproduce MI6318100's submissions. Correct 2024 total for the pair: 36, not 72. MI6363800 must also never be own-history filled — its 'history' is the contaminated CIUS series, and its Return-A rows are 0-month zeros that no uplift can rescue. FOOTPRINT — this is the part that must not be lost in the merge: MI6318100 is crosswalked at weight 1 to 26:statewide_overlap_layer by 'agency_master_fallback' (its agency-master record is missing, hence agency type 'unknown', no place code, absent from the 2024 roster), while MI6363800 holds the correct municipal polygon, Census county subdivision 2612510040 (Brandon charter township, Oakla"
a2-CA03799-highway-patrol-oceanside,CA,7,CA0379950;CA0379908;CA0379945;CA0379980;CA0379901;CA0379946;CA0379951,distinct_agencies,,,keep_all_oris,high,0,"KEEP ALL SEVEN. CA0379950 Oceanside AO (39), CA0379908 Border ISU (27), CA0379945 San Diego AO (4), CA0379980 El Cajon AO (3), CA0379901 Border Division AO (0), CA0379946 Otay Mesa CVEF (0), CA0379951 San Onofre CVEF (0). Block 2024 total stays 73; no merge, no supersede.

WHY DISTINCT: CA03799 = 'state agencies in FBI county 37 (San Diego County)'. Three patrol Areas (Oceanside, San Diego, El Cajon), one division headquarters (Border Division), one investigative unit (Border ISU), two commercial-vehicle facilities (Otay Mesa on SR-905, San Onofre on I-5). Four distinct organizational kinds — not twins.

ROLLUP TEST ON CA0379901 (Border Division AO) — this is the one member that could plausibly CONTAIN the others, since a CHP Division is the administrative echelon above its Area offices. It does not. Its full-year totals are 8 (2022) and 26 (2023) against subordinate-Area sums of 61 (2022: 25+13+23) and 119 (2023: 91+18+10) — 13% and 22% of its own children. A rollup cannot be a fifth of what it rolls up. Its entire baseline is pure motor vehicle theft (26 of 26), i.e. a division-level auto-theft caseload, not an aggregation of Area reporting. VERDICT: not a parent, not superseded,"
a2-TX22002-azle,TX,2,TX2200200;TX220029E,distinct_agencies,,48:statewide_overlap_layer | place 4805168 | statewide_overlap_layer,keep_all_oris,high,0,"Keep both; do not fold the 33 onto Azle. Correct 2024: 281 on Azle city (place 4805168) under TX2200200 = Azle Police Department (Parker/Tarrant), plus 33 under TX220029E = Southwestern Baptist Theological Seminary Police (University or College, Tarrant County — a Fort Worth campus, not Azle). The '9E' suffix is the Texas 9-series campus allocation hung off Azle's numeric block, exactly as TX129239E is hung off another block in this same batch; it carries no parent-child meaning. Offense mix confirms the two records are not one: the seminary's 2024 vector is pure property (9 burglary / 22 larceny / 2 MVT, zero violent), while Azle's is a municipal profile with 191 larcenies, 23 aggravated assaults and 8 rapes. A wrong merge would move 33 Fort Worth campus counts onto a 14,961-person city (+12% on its index) and delete the seminary's own record. Read the seminary's level carefully but do not treat it as a spike: its history is lane-thin (2019 NIB 12 on 11 months, no rows 2020-2022, 2023 NIB 5 on 4 months, 2024 NIB 33 on 12 months), so 2024 is its first full year in five and the 33-vs-5 step is mostly month coverage, not crime. Footprint defect: the seminary's 33 sit w=1 on 48:statew"
a2-CA04001-arroyo-grande,CA,2,CA0400100;CA040015M,distinct_agencies,,place 0603064 | statewide overlap layer | municipal:place:0602868,keep_all_oris,high,0,"KEEP BOTH, AT THEIR EXISTING AND DIFFERENT FOOTPRINTS. CA0400100 (Arroyo Grande Police Department, 173, municipal:place:0602868, FBI pop 18,179) and CA040015M (Atascadero State Hospital, 30, Other State Agency, NIBRS start 2022-01-01). Correct 2024 block total stays 203 across two footprints; no merge, no supersede. A merge here would be the most damaging error available in this batch, because it would also move 30 offenses between footprints.

WHY THE SHARED ORI7 IS AN ARTEFACT: these are not in the same block under the FBI's own scheme. CA040015M is a letter-suffixed special-jurisdiction ORI; truncating it to 7 characters produces 'CA04001', which collides with San Luis Obispo County's municipal agency slot 01 (Arroyo Grande). The collision is created by the screen's truncation, not by the FBI. The screen should exclude letter-suffixed ORIs from ORI7 grouping, alongside excluding AA=99 state blocks.

THE STEM/ROLLUP HYPOTHESIS THE PACKET RAISES IS REFUTED ON CONTENT, not just on names. The 2024 offense vectors are structurally incompatible: Arroyo Grande = 2/2/4/28/29/94/14, a full municipal Part-I profile dominated by burglary and larceny. Atascadero State Hospital = 0/10/0/16/0"
a3-CA-ventura-county-community-vs-ventura-cnty-com,CA,2,CA0562400;CA0568000,superseded_ori,CA0568000,06:statewide_overlap_layer | statewide overlap layer | statewide_overlap_layer,merge_dedupe,high,0,"One agency, two ORI keys. CANONICAL / SURVIVOR: CA0562400 ""Ventura County Community College District"" — on the 2024 CDE roster (University or College, Ventura County), NIBRS start 2023-01-01, with a real 2024 submission (NIB 30 on 12 batch-header months, SRS 30 on 11 months). SUPERSEDED: CA0568000 (panel ""VENTURA CNTY COM COL DST"", crosswalk name ""ventura college""), ABSENT from the 2024 roster and showing 0 reported SRS months in both 2023 and 2024. The single deciding fact: CA0568000's 2023 and 2024 CIUS rows (44 and 30) sit on a 0-month submission record, so they cannot be independent counts — CIUS is the Return-A master frozen at publication, and the only submission carrying those byte-identical vectors is CA0562400's NIBRS. The pipeline is therefore double-publishing 30 in 2024 and 44 in 2023 on the California statewide overlap layer; correct 2024 mass for the pair is 30, once, under CA0562400. SUCCESSION BREAK: 2023-01-01 (the new ORI's NIBRS start; CA0568000's last independent year is 2022, CIUS 12 on a 7-month SRS record, and the lane changes at exactly that break). Retain CA0568000's 2018-2022 values (61, 54, 34, 2021 non-report, 12) as the district's own history under the "
a2-CA01599-highway-patrol-bakersfield,CA,6,CA0159920;CA0159926;CA0159960;CA0159912;CA0159924;CA0159930,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep all six. 2024 block total 232 = 203 (CA0159920 Bakersfield Area) + 20 (CA0159926 Buttonwillow Area) + 9 (CA0159960 Fort Tejon Area) + 0 (CA0159912 Kern County Auto Theft Task Force) + 0 (CA0159924 Grapevine CVEF) + 0 (CA0159930 Mojave Area). These are not even all in the same CHP division: Bakersfield, Buttonwillow (office 426, 29449 Stockdale Hwy — created in 1992 specifically to serve the I-5 corridor and western Kern) and Fort Tejon (1033 Lebec Road, Lebec) are Central Division, while Mojave (office 830, 1313 Highway 58, Mojave) is INLAND Division. Correct footprints: the four Area offices -> their own CHP Area polygons from the California State Geoportal 'CHP Areas and Divisions' layer (Bakersfield metro/SR-99, Buttonwillow I-5/west Kern, Fort Tejon the Grapevine/I-5 south, Mojave the SR-14/SR-58 east Kern corridor); Grapevine CVEF -> the inspection facility site on I-5 at the Grapevine, Kern County, as a point/parcel; Kern County Auto Theft Task Force -> Kern County, and it should carry no allocated mass at all given it reports zero. All six currently at 06:statewide_overlap_layer w=1."
