state_abbr,priority_rank,ori9,agency_name,agency_type_name,review_lane,mismatch_reason,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,issue_type,issue_subtype,action_priority,recommended_master_action,recommended_source_action,recommended_next_step,doctrine_implication
CA,20,CA0019945,Highway Patrol: Hayward Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,205.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,21,CA0159920,Highway Patrol: Bakersfield Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,203.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,23,CA0519985,Highway Patrol: Yuba-Sutter Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,182.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,24,CA0349960,Highway Patrol: East Sacramento Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,171.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,26,CA0529930,Highway Patrol: Red Bluff Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,155.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,27,CA0499960,Highway Patrol: Santa Rosa Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,151.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,29,CA0129925,Highway Patrol: Humboldt Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,144.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,30,CA0549981,Highway Patrol: Porterville Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,140.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,31,CA0049940,Highway Patrol: Oroville Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,135.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,32,CA0099945,Highway Patrol: Placerville Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,135.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,33,CA0319920,Highway Patrol: Auburn Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,122.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,36,CA0109935,Highway Patrol: Fresno Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,105.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,39,CA0199935,Highway Patrol: East Los Angeles Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,93.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,40,CA0239950,Highway Patrol: Ukiah Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,92.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,41,CA0199940,Highway Patrol: Newhall Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,88.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,42,CA0059955,Highway Patrol: San Andreas Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,86.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,43,CA0209950,Highway Patrol: Madera Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,86.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,44,CA0219950,Highway Patrol: Marin Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,82.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,50,CA0249960,Highway Patrol: Merced Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,70.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,51,CA0289925,Highway Patrol: Napa Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,68.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,52,CA0459935,Highway Patrol: Redding Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,68.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,53,CA0299930,Highway Patrol: Grass Valley Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,67.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,54,CA0089920,Highway Patrol: Crescent City Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,65.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,56,CA0139925,Highway Patrol: El Centro Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,56.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,57,CA0369950,Highway Patrol: Victorville Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,54.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,59,CA0199925,Highway Patrol: Baldwin Park Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,52.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,60,CA0309970,Highway Patrol: Westminster Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,52.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,61,CA0049941,Highway Patrol: Chico Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,51.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,62,CA0209956,Highway Patrol: Oakhurst Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,49.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,63,CA0199950,Highway Patrol: Santa Fe Springs Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,48.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,64,CA0279930,Highway Patrol: Monterey Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,47.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,65,CA0429950,Highway Patrol: Santa Maria Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,46.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,66,CA0341201,California State Parks: Gold Fields,Other State Agency,missing_in_repo_master,missing_in_repo_master,True,True,2021-02-01,False,True,nibrs_incident_annual,annual_only_but_usable,44.0,master_reference_omission,non_chp_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the master roster and relink the existing 2024 repo NIBRS annual observations already present for the ORI.,missing_master_with_repo_nibrs_is_reference_gap
CA,67,CA0129926,Highway Patrol: Garberville Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,43.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,70,CA0369930,Highway Patrol: Barstow Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,39.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,71,CA0199930,Highway Patrol: South Los Angeles Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,38.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,72,CA0439940,Highway Patrol: San Jose Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,38.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,73,CA0429960,Highway Patrol: Santa Barbara Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,37.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,74,CA0019990,Highway Patrol: Dublin Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,36.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,75,CA0199910,Highway Patrol: Southern Investigative Services Unit,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,36.0,master_reference_omission,chp_specialty_master_gap_with_repo_nibrs,queue_next,add_to_master_after_unique_ori_check,keep_current_nibrs_incident_annual,"Run a quick uniqueness check against existing CHP master entities, then add this ORI because repo already carries 2024 NIBRS observations.",missing_master_with_repo_nibrs_is_reference_gap
CA,76,CA0249961,Highway Patrol: Los Banos Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,36.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,77,CA0379950,Highway Patrol: Oceanside Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,36.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,80,CA0199990,Highway Patrol: Central Los Angeles Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,32.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,81,CA0539975,Highway Patrol: Trinity River Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,32.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,82,CA010015M,Coalinga State Hospital,Other State Agency,missing_in_repo_master,missing_in_repo_master,True,True,2022-01-01,False,True,nibrs_incident_annual,annual_only_but_usable,31.0,master_reference_omission,non_chp_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the master roster and relink the existing 2024 repo NIBRS annual observations already present for the ORI.,missing_master_with_repo_nibrs_is_reference_gap
CA,83,CA0349917,Highway Patrol: Capitol Protection Section,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,31.0,master_reference_omission,chp_specialty_master_gap_with_repo_nibrs,queue_next,add_to_master_after_unique_ori_check,keep_current_nibrs_incident_annual,"Run a quick uniqueness check against existing CHP master entities, then add this ORI because repo already carries 2024 NIBRS observations.",missing_master_with_repo_nibrs_is_reference_gap
CA,84,CA0119960,Highway Patrol: Willows Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,28.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,85,CA0541200,Porterville Developmental Center,Other State Agency,official_nibrs_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,True,True,2021-08-01,True,False,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,28.0,source_policy_disagreement,official_nibrs_repo_srs_only,queue_next,no_master_change_from_packet,queue_targeted_nibrs_audit_before_switch,Audit whether a concrete 2024 official NIBRS incident feed exists for this ORI. Switch policy only after confirming source availability.,official_nibrs_flag_alone_should_not_force_policy_switch
CA,86,CA0199965,Highway Patrol: West Los Angeles Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,27.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,87,CA0199975,Highway Patrol: Altadena Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,27.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
CA,90,CA0379908,Highway Patrol: Border Investigative Services Unit,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,26.0,master_reference_omission,chp_specialty_master_gap_with_repo_nibrs,queue_next,add_to_master_after_unique_ori_check,keep_current_nibrs_incident_annual,"Run a quick uniqueness check against existing CHP master entities, then add this ORI because repo already carries 2024 NIBRS observations.",missing_master_with_repo_nibrs_is_reference_gap
CA,91,CA0429955,Highway Patrol: Buellton Area Office,State Police,missing_in_repo_master,missing_in_repo_master,True,True,2021-11-01,False,True,nibrs_incident_annual,annual_only_but_usable,25.0,master_reference_omission,chp_area_office_master_gap_with_repo_nibrs,implement_now,add_to_master_now,keep_current_nibrs_incident_annual,Add this ORI to the California state-law-enforcement master roster and relink the existing 2024 repo NIBRS annual observations.,missing_master_with_repo_nibrs_is_reference_gap
